리뷰,rep,index,Processing
한강 하구에 위치한 공원으로 공원내 생태 습지가 함께하고 있어 일반 쉼터공원으로 서의 역할 뿐 만아니라 생태습지공원으로 도 존재가치가 큰곳이다.,0,0,"['한강', '하다', '위치', '한', '공원', '공', '원내', '생태', '습지', '하다', '일반', '쉬다', '터', '공원', '서다', '역할', '뿐', '말다', '생태', '습지', '공원', '도', '존재', '가치', '크다', '곳', '이다']"
또한 맞은 편에 행주산성이 있고 북동쪽 으로는 북한산이 한눈에 들어오는 전망이 좋은 곳이며 자전거도로가 연결되어 바이크 동호인들이 사랑하는 곳이기도 하다,1,0,"['맞다', '편', '행주산성', '북동쪽', '으로는', '북한', '산이', '한눈', '들어오다', '전망', '좋다', '곳', '이며', '자전거', '도로', '연결', '되어다', '바이크', '동', '호인', '사랑', '하다', '곳', '이기도', '하다']"
김포에서 출발하여 방화대교 / 마곡(철도)대교/가양대교/ 미 개통대교 / 성산대교 그리고 선유도 까지 도보(4월에만 세번째) 하면서 여의도 방향의 국회/쌍둥이 빌딩 그리고 반대편 난지도 하늘공원 등 보면서 그간 서울/한국의 발전과 한강기적의 잠시나미 느껴고 머릿속엔 주마등 처럼 많은 그림이 스쳐간다..,0,1,"['김포', '출발', '하다', '방화대교', '/', '마곡', '철도', '대교', '/', '가양대교', '/', '밉다', '개통', '대교', '/', '성산대교', '선유도', '도보', '4월', '에만', '세번', '째', '하다', '여의도', '방향', '국회', '/', '쌍둥이', '빌딩', '반대편', '난지도', '하늘', '공원', '보다', '그간', '서울', '/', '한국', '발전', '한강', '기적', '나미', '느끼다', '머릿속', '엔', '주', '마등', '처럼', '많다', '그림', '스치다', '간다', '..']"
나의 공적도 여기 어디엔가 있을거 같기도 하고..,1,1,"['공적', '도', '엔', '가다', '하다', '..']"
제3한강교(반포대교) 라는 대중음악도 생각해보고..,2,1,"['한', '강교', '반포대교', '라는', '대중음악', '도', '생각', '해보다', '..']"
우리 대한민국 ..,3,1,"['대한민국', '..']"
하루빨리 선진 강대국 반열에 올라야 하는데.. 빌어도본다..,4,1,"['하루빨리', '선진', '강대국', '반', '열', '올', '라야', '하다', '..', '빌어', '도', '보다', '..']"
담엔 자전거로 잠실대교까지 가봐야지 하면서 발길은 돌린다.,5,1,"['담', '엔', '자전거', '잠실대교', '가보다', '하다', '발길', '은', '돌리다']"
가양나들목을 나와 한강변 산책로를 따라 야경이 무척 아름다운 방화대교 주변까지 갔다왔구요.,0,2,"['가양', '나들목', '나오다', '한', '강변', '산책로', '따르다', '야경', '무척', '아름답다', '방화대교', '주변', '가다', '오다']"
특히 방화대교 남단 바로옆에 있는 투금탄이야기 조형물과 전설은 우리에게 큰 교훈이 되고 있습니다.,1,2,"['특히', '방화대교', '남단', '옆', '투금', '이야기', '조형', '물', '전설', '은', '크다', '교훈', '되다']"
강서 한강공원  늘 푸른물결 아름답고요,0,3,"['강서', '한강', '공원', '늘', '푸른', '물결', '아름답다']"
많은 사람들이 자전거 행열 아름다워요,1,3,"['많다', '사람', '자전거', '행열', '아름답다']"
생태공뭔에는 고란이가 놀고 있네요,2,3,"['생태', '공', '뭔', '는', '고', '란', '놀다']"
가끔 강태공들이 낚시른 즐기고 있네요,3,3,"['가끔', '강태공', '낚시', '른', '즐기다']"
즐겁고 아름다운하루,4,3,"['즐겁다', '아름답다', '하루']"
뭔가 좀 없지만 넓고 쾌적해서 좋아요,0,4,"['뭔가', '없다', '넓다', '쾌적하다', '좋다']"
날씨 좋은날 그늘막 하나 가지고 바람쐬면서 휴식하기 좋아요.,0,5,"['날씨', '좋다', '날', '그늘', '막', '가지', '고', '바람', '쐬다', '휴식', '하다', '좋다']"
잔디밭에 그늘막치고 누워있음,1,5,"['잔디밭', '그늘', '막', '치고', '눕다']"
캠핑온것같은 느낌이 드네요.,2,5,"['캠핑', '오다', '느낌', '드네', '요']"
한강까지는 쪼금 걸어나가면 볼 수 있어요.,3,5,"['한강', '까지는', '쪼금', '걸다', '나가다', '볼', '수']"
나무들이 아직 울창하지않아 그늘이 많지는 않지만...  제가 간 날은 날이 너무 좋았네요.,4,5,"['나무', '아직', '울창', '하다', '않다', '그늘', '많다', '않다', '간', '날', '은', '날', '너무', '좋다']"
오전엔 선선한 바람도 불고...,5,5,"['오전', '엔', '선선', '한', '바람', '도', '불', '고']"
오후엔 쫌 더웠어요.,6,5,"['오후', '엔', '쫌', '덥다']"
아무 준비없이 가서 심심하더라구요..,7,5,"['아무', '준비', '없이', '가다', '심심하다', '..']"
그래서 일찍  접었는데 다음엔 책이라도 가져가서 시간을 보내야 겠어요.,8,5,"['일찍', '접다', '엔', '책', '이라도', '가져가다', '보내다', '겠다']"
주차장도 근처에 있어 접근하긴 좋아요.,9,5,"['주차장', '도', '근처', '접근', '하다', '좋다']"
나름 괜찮은데...,0,6,"['나름', '괜찮다']"
시골길 같구...,1,6,"['시골', '길']"
그런데 옆에 올림픽대로 소리가 너무 커서 새들도 날아갈거 같아요.,2,6,"['옆', '올림픽대로', '소리', '너무', '커서', '새', '도', '날아가다']"
강서한강공원 걷지 않으면 볼 수 없는 풍경들,0,7,"['강서', '한강', '공원', '걷다', '않다', '볼', '수', '없다', '풍경']"
시원하고 강바람 완전 좋아요.^^♡,0,8,"['시원하다', '강바람', '완전', '좋다', '.^^', '♡']"
생태보전이 잘 되어있는 편이고 사람이 많이 붐비지 않아서 좋다,0,9,"['생태', '보전', '자다', '되어다', '편이', '고', '사람', '많이', '붐비다', '않다', '좋다']"
모래놀이 그늘 나들이 촤고..,0,10,"['모래', '놀이', '그늘', '나들이', '촤', '고', '..']"
주차장 좋고 화장실좋은 넓은 공간..,1,10,"['주차장', '좋다', '화장실', '좋다', '넓다', '공간', '..']"
한강!!난지2,2,10,"['한강', '!!', '난', '지']"
즐겁게 나들이 할 수 있는 곳 시민 공간 좋아요~,0,11,"['즐겁다', '나들이', '하다', '수', '곳', '시민', '공간', '좋다']"
It is the place to hangout happily.,1,11,"['It', 'is', 'the', 'place', 'to', 'hangout', 'happily']"
For people~,2,11,"['For', 'people']"
전망대도 있고 둘레길도 매우잘만듬,0,12,"['전망대', '도', '둘레길', '도', '매우', '잘만', '듬']"
"강서한강공원 풍경, 조류관찰대",0,13,"['강서', '한강', '공원', '풍경', '조류', '관찰', '대']"
도심속 바쁜 생활중에 40분의 여유~ 참 좋았습니다!!!,0,14,"['도심', '속', '바쁘다', '생활', '중', '40분', '여유', '차다', '좋다', '!!!']"
강서구 쪽의 방화대교 옆에서 부터 행주대교 근처까지 쭉 길게 이어진 강서습지생태공원.,0,15,"['강서구', '쪽', '방화대교', '옆', '행주대교', '근처', '쭉', '길다', '이어진', '강서', '습지', '생태', '공원']"
"여러종류의 숲풀과 수양버들이 멋지게 늘어져 있고, 여러종류의 새소리가 아름답게 들리는 곳으로 한강변으로 쭉 늘어진 생태공원길을 한번쯤 걸어보는 것도 아주 유익한 도움이 될 것입니다.",1,15,"['여러', '종류', '숲풀', '수양버들', '멋지다', '늘어지다', '여러', '종류', '새소리', '아름답다', '들리다', '곳', '한', '강변', '쭉', '늘어지다', '생태', '공', '원', '길', '한번', '쯤', '걸다', '보다', '도', '아주', '유익하다', '도움', '되다', '이다']"
시원한  바람 과 눈위에 탁티는 하늘 또잘정비된  시설과 목초는 찌든 도시인 들이 쉬면서  가벼운 운동도하고  마음을  다스리기에 적절한 곳이기도 하다.,0,16,"['시원하다', '바람', '눈위', '탁티', '는', '하늘', '자다', '정비', '되다', '시설', '목초', '는', '찌들다', '도시', '인', '들이다', '쉬다', '가볍다', '운동', '도하', '고', '마음', '다스리다', '적절하다', '곳', '이기도', '하다']"
넘 좋았어요~~~^^,0,17,"['넘다', '좋다', '~~~^^']"
강서습지생태공원은 서울 방화대교 남쪽 끝에서 행주대교 남쪽 끝 사이의 한강 둔치에 있는 생태공원이다.,0,18,"['강서', '습지', '생태', '공원', '은', '서울', '방화대교', '남쪽', '끝', '행주대교', '남쪽', '끝', '사이', '한강', '두다', '생태', '공원', '이다']"
"담수지와 저습지 등을 인공적으로 조성하고 습생, 수생식물을 심었다.",1,18,"['담다', '저습지', '인공', '적', '조성', '하고', '습생', '수생', '식물', '심다']"
갈대밭과 버드나무숲이 어우러져 있으며 탐방로 두 곳과 철새 조망대가 있다.,2,18,"['갈대', '밭', '버드', '나무숲', '어우러지다', '탐방', '두', '곳', '철새', '조', '망대']"
평일에는 주차가 여유롭고 사람이 적음.,0,19,"['평일', '에는', '주차', '여유', '롭고', '사람', '적다']"
매점이나 편의점이 없어서 불편함.,1,19,"['매점', '이나', '편의점', '없다', '불편하다']"
정비를 위해 출입금지된 산책로가 많음.,2,19,"['정비', '위해', '출입', '금지', '되다', '산책로', '많다']"
아이와 놀러갔는데 좋습니다~,0,20,"['놀다', '가다', '좋다']"
다만 주차장에서 공원까지 거리가 좀 있어요~,1,20,"['주차장', '공원', '거리']"
나름 잘 만들었네요,0,21,"['나름', '자다', '만들다']"
자전거도로.,1,21,"['자전거', '도로']"
산책길 수변공원도 분리하고 화장실도 괜찮고,2,21,"['산책길', '수', '변', '공원', '도', '분리', '하고', '화장실', '도', '괜찮다']"
서울서북부 지역에위치하며 개화산을끼고 강건너는 정발산행주산성이고 경인아래뱃길 출발지이기도하며 진경산수화의대가인 겸재선생의 진경산수회의 소재가되어있고 관계된그림도 여러점있다,0,22,"['서', '울', '서', '북부', '지역', '위치', '며', '개화산', '끼', '고', '강', '건너다', '정발', '산', '행주산성', '이고', '경인', '아래', '뱃길', '출발', '지다', '하다', '진경산수화', '대가', '인', '겸재', '선생', '진경산수', '회의', '소재', '되어다', '관계', '되다', '그림', '도', '여러', '점']"
강서에 있는 한강공원이라 매우 한적하고 차가 없으면 못오는 곳이라 장사꾼들이 몰리지 않는 곳이다.,0,23,"['강서', '한강', '공원', '이라', '매우', '한적하다', '차갑다', '없다', '못', '오다', '곳', '이라', '장사꾼', '몰리', '지', '않다', '곳', '이다']"
다만 조류 독감이 한바탕 쓸고 가면 생태관찰구역은 출입이 차단되니 유의할 것.,1,23,"['조류', '독감', '한바탕', '쓸다', '가면', '생태', '관찰', '구역', '은', '출입', '차단', '되다', '유의', '하다']"
조용하고 사람들이 너무 많지도 않다.,0,24,"['조용하다', '사람', '너무', '많다', '않다']"
도심 속 공원 느낌 보다는 정말 교외 지역으로 온 느낌을 준다,1,24,"['도심', '속', '공원', '느낌', '보다는', '정말', '교외', '지역', '온', '느낌', '주다']"
자전거 타고 국토종주의 꿈을 꾸다 가양대교를 찍고 돌아서는.......,0,25,"['자전거', '타고', '국토', '종', '주의', '꿈', '꾸다', '가양대교', '찍다', '돌아서다', '.......']"
우쨌든 좋습니다~~,1,25,"['우', '째다', '좋다', '~~']"
겨울석양이 아름다운곳,0,26,"['겨울', '석양', '아름답다', '곳']"
편의점 없어요.,0,27,"['편의점', '없다']"
아직 정비되지 않은 느낌. 양화지구나 난지지구가 나아요.,1,27,"['아직', '정비', '되다', '않다', '느낌', '양화', '지구', '난', '지지', '구가', '나다']"
정말 아름답게 잘 정리해 놓아서 좋았습니다.,0,28,"['정말', '아름답다', '자다', '정리', '하다', '놓다', '좋다']"
일부 데크가 낡아서 보수가 시급한 상태입니다.,1,28,"['일부', '데크', '낡다', '보수', '시급하다', '상태', '이다']"
아주좋와요,0,29,"['아주', '좋다', '요']"
별보기 좋아요.,0,30,"['별', '보기', '좋다']"
모기는 무섭지만 '게'도 볼수 있답니다.,1,30,"['모기', '는', '무섭다', '게', '도', '보다']"
조용하고 휴식을 하기 좋은곳 입니다 .,0,31,"['조용하다', '휴식', '하다', '좋다', '곳', '이다']"
경치는 좋은데 쉴곳이 좀 더 있었으면 좋겠어요,0,32,"['경치', '는', '좋다', '쉬다', '곳', '더', '좋다']"
강서구에 있는 한강습지,0,33,"['강서구', '한', '강습', '지']"
라이딩 하시면 들르시게 도죠!,0,34,"['라이딩', '하다', '들르다', '도', '죠']"
근데 모기가 많으니!!,1,34,"['근데', '모기', '많다', '!!']"
낮에 다니시길‥,2,34,"['낮', '다니다', '‥']"
아이 데리고 자연체험하기 좋아요.,0,35,"['데리', '고', '자연', '체험', '하다', '좋다']"
주변에 게가 많다ㄷㄷ 자전거들이 즈려밟고 간다,0,36,"['주변', '게', '많다', 'ㄷㄷ', '자전거', '즈', '려', '밟다', '간다']"
나도ㅈ그랬고,1,36,"['나다', 'ㅈ', '그렇다']"
한강변 산책로,0,37,"['한', '강변', '산책로']"
새벽 조깅하기 죠,0,38,"['새벽', '조깅', '하다', '죠']"
흠 고라니 가끔출몰하니까 조심,1,38,"['흠', '고라니', '가끔', '출몰', '니까', '조심']"
가볍게 산책하기는 좋아요,0,39,"['가볍다', '산책', '하다', '좋다']"
친절하고.부드럽게대해주시네요,0,40,"['친절하다', '부드럽다', '대', '해주시', '요']"
다른 한강공원보다는 조경?이 좀 덜 된 느낌,0,41,"['한강', '공원', '보다는', '조경', '덜', '되다', '느낌']"
매점이나 편의점등이 없는것만 제외하면 괜찮음,0,42,"['매점', '이나', '편의점', '없다', '제외', '하다', '괜찮다']"
라이딩 휴식하기좋아요.,0,43,"['라이딩', '휴식', '하다', '좋다']"
버드나무 갈대숲 따라 걷기 좋아요,0,44,"['버드나무', '갈대', '숲', '따르다', '걷기', '좋다']"
장애인들이 체험하기는 좀 불편한것같음,0,45,"['장애인', '체험', '하다', '불편하다']"
한강을 끼고 걷기 운동하기 좋아요,0,46,"['한강', '끼', '고', '걷기', '운동', '하다', '좋다']"
"자전거도로 굿,강가로갈수있는 오솔길",0,47,"['자전거', '도로', '굿', '강가', '갈수', '오솔길']"
자연생태계를 탐방할 수 있습니다.,0,48,"['자연', '생태계', '탐방', '하다', '수']"
생태공원 잘 정비되었어요,0,49,"['생태', '공원', '자다', '정비', '되어다']"
자전거도로좋아요,0,50,"['자전거', '도로', '좋다']"
도심근처에 수변습지가 살아있습니다.,0,51,"['도심', '근처', '수', '변', '습지', '살다']"
증조할아버지의 묘에 절을 올리고 왔습니다,0,52,"['증조', '할아버지', '묘', '절', '올리다', '오다']"
너무너무좋고  아주좋아요,0,53,"['너무', '너무', '좋다', '아주', '좋다']"
만보산책공원으로 추천합니다,0,54,"['만', '보', '산책', '공원', '추천', '하다']"
자전거 최고의 힐링 코스,0,55,"['자전거', '최고', '힐링', '코스']"
시원하고 좋아요~,0,56,"['시원하다', '좋다']"
정비가 잘돼있음,0,57,"['정비', '잘', '돼다']"
사람이다,0,58,"['사람', '이다']"
"소많지만 그래도좋으곳,",1,58,"['소', '많다', '좋다', '곳']"
신책코스로 좋아요,0,59,"['신', '책', '코스', '좋다']"
공원 잘 되어 있음,0,60,"['공원', '자다', '되어다']"
삼책하기 좋아요.,0,61,"['책', '하다', '좋다']"
산책하기 좋음,0,62,"['산책', '하다', '좋다']"
한번쯤 가볼만한곳~~~,0,63,"['한번', '쯤', '가보다', '한', '곳', '~~~']"
부대시설이 너무없음,0,64,"['부대', '시설', '너무', '없다']"
아주좋아요.,0,65,"['아주', '좋다']"
별로 볼게 없다,0,66,"['별로', '볼', '게', '없다']"
자전거라이딩 다녀왔습니다.,0,67,"['자전거', '라이딩', '다녀오다']"
여긴 진짜 좋음,0,68,"['여기다', '진짜', '좋다']"
볼게 없어요,0,69,"['볼', '게', '없다']"
한적하고 아름다운 곳,0,70,"['한적하다', '아름답다', '곳']"
공원으로 기능충실,0,71,"['공원', '기능', '충실']"
별루 안좋던데....,0,72,"['별루', '안좋다', '....']"
굿,0,73,['굿']
좋앗어요,0,74,['좋다']
좋아요,0,75,['좋다']
한강 자전거길,0,76,"['한강', '자전거', '길']"
산책하기 짱,0,77,"['산책', '하다', '짱']"
자전거하이킹,0,78,"['자전거', '하이킹']"
분위기굿,0,79,"['분위기', '굿']"
지역 명물,0,80,"['지역', '명물']"
좋아요,0,81,['좋다']
좋아요,0,82,['좋다']
서울의 놀라운 야경을 감상할 수 있는 매우 유명한 공원입니다.,0,83,"['서울', '놀랍다', '야경', '감상', '하다', '수', '매우', '유명하다', '공원', '이다']"
신선한 공기가 있는 최고의 야간 산책 장소.,1,83,"['신선하다', '공기', '최고', '야간', '산책', '장소']"
저녁 시간에는 바다 전망이 더 아름답습니다.,2,83,"['저녁', '에는', '바다', '전망', '더', '아름답다']"
사람들은 여기 산책을 좋아합니다.,3,83,"['사람', '은', '산책', '좋아하다']"
깨끗하게 정비되어 산책에 적합한 공원!!,0,84,"['깨끗하다', '정비', '되어다', '산책', '적합하다', '공원', '!!']"
자전거 라이더에게 좋습니다.,0,85,"['자전거', '라이더', '좋다']"
서울시의 자연.,0,86,"['서울시', '자연']"
섹시한,0,87,['섹시하다']
감독자,0,88,['감독']
