리뷰,rep,index,Processing,평가
그리고 뚝섬한강공원부터 서울 타워를 바라보며 서울의 숲까지 걸어 볼만 하고 반대 방면으로 롯데타워를 바라보며 광나루까지 걷는 코스가 참 좋습니다.,4,49,"['뚝섬', '한강', '공원', '서울', '타워', '바라보다', '서울', '숲', '걸다', '볼', '만', '하다', '반대', '방면', '롯데', '타워', '바라보다', '광나루', '걷다', '코스', '차다', '좋다']",긍정
화장실사람들이 워낙 많아 줄을 서야 합니다.,5,49,"['화장실', '사람', '워낙', '많다', '줄', '서다', '하다']",긍정
남녀 화장실 모두..피크닉 구역돗자리가 있다면 훨씬 편합니다.,6,49,"['남녀', '화장실', '..', '피크닉', '구역', '돗자리', '편하다']",긍정
벚꽃이 절정인 휴일 오후에 다녀왔는데 사람들이 많이 찾아 그늘과 앉을 자리가 부족한 느낌입니다.,0,50,"['벚꽃', '절정', '인', '휴일', '오후', '다녀오다', '사람', '많이', '찾다', '그늘', '앉다', '자리', '부족하다', '느낌', '이다']",긍정
텐트 칠 수 있는 곳과 나무밑 자리만 깔 수 있는곳 모두 만원이고 벤치도 부족합니다.,1,50,"['텐트', '수', '곳', '나무', '밑', '자리', '만', '깔다', '수', '곳', '만원', '이고', '벤치', '도', '부족하다']",부정
시설 확충이 되면 좋겠습니다.,2,50,"['시설', '확충', '되다', '좋다']",긍정
놀이터보드 탈 수 있는 공간이 있습니다.,3,50,"['놀이터', '보드', '탈', '수', '공간']",긍정
화장실여자 화장실 수가 부족한듯 줄 서있는 모습이 보입니다.,4,50,"['화장실', '여자', '화장실', '수가', '부족하다', '줄', '서다', '모습', '보이다']",긍정
반려견 동반 환경중소형 반려견 동반한 사람이 자주 눈에 띕니다.,5,50,"['반려견', '동반', '환경', '중', '소형', '반려견', '동반', '한', '사람', '자주', '눈', '띄다']",긍정
거의 빠짐없이대 목줄을 사용합니다.,6,50,"['빠지다', '없다', '목줄', '사용', '하다']",부정
"피크닉 구역나무밑 자리깔 수 있는곳, 텐트칠 수 있는 곳 구분되어 있는데 자리가 부족합니다.",7,50,"['피크닉', '구역', '나무', '밑', '자리', '깔다', '수', '곳', '텐트', '수', '곳', '구분', '되어다', '자리', '부족하다']",긍정
여기서여러가지행사 를하는 것같 습니다,0,51,"['서', '여러가지', '행사', '하다']",긍정
캡모자 안에도 수영모 착용해야해요.,0,52,"['캡', '모자', '안', '에도', '수영모', '착용', '하다', '해', '요']",긍정
참고하세요!,1,52,"['참고', '하다']",부정
현장에서 구매하니 1개에 7천원 받더라고요..,2,52,"['현장', '구매', '하다', '개', '7천원', '받다', '..']",부정
한강바람 쐬기 좋은 곳.,0,53,"['한', '강바람', '쐬다', '좋다', '곳']",긍정
주차장 및 지하철 접근성 좋아요^^,1,53,"['주차장', '지하철', '접근성', '좋다', '^^']",긍정
여기는 서울의 강북과 강남을 이어주는  청남대교 북단에서 강남쪽을 바라보는 야경이 특히 멋진 곳이기도 하다.,0,54,"['여기다', '서울', '강북', '강남', '이다', '청남대', '교', '북단', '강남', '쪽', '바라보다', '야경', '특히', '멋지다', '곳', '이기도', '하다']",긍정
"청담대교의 야경과 경치도 좋고, 뚝섬 한강 공원 이 바오 뒤에있고 앞으로는 아리랑 웨딩하우스란 곳이 있다.",1,54,"['청담대교', '야경', '경치', '도', '좋다', '뚝섬', '한강', '공원', '바오', '뒤', '앞', '으로는', '아리랑', '웨딩', '하우스', '란', '곳']",긍정
아마도 이곳에서 강위의 웨딩을 하는 곳인가 보다.,2,54,"['아마도', '곳', '강위', '웨딩', '하다', '곳', '인가', '보다']",부정
"지난번에 롯데 타워가 몇년간의 공사를 완료 완공하여 그 기념으로 롯데 타워에서 아마도 언뜻 기억으로는 3만 5천발 이상의 불꽃을 터뜨렸다는 기사를 언뚯 보아서, 이모습을 담기 위해, 이곳이 가장 잘 보이는 곳이라 하여 방문하여, 촬영 하게 되었다.",3,54,"['지난번', '롯데', '타워', '간', '공사', '완료', '완공', '하다', '기념', '롯데', '타워', '아마도', '언뜻', '기억', '으로는', '3만', '5천', '발', '불꽃', '터뜨리다', '기사', '언뚯', '보아', '서', '모습', '담기다', '위해', '곳', '가장', '자다', '보이다', '곳', '이라', '하다', '방문', '하다', '촬영', '하다', '되어다']",긍정
엄청 많은 사진 동호인 들이 이곳을 방문하여 엄청 고생한 기억이 있다.,4,54,"['엄청', '많다', '사진', '동호', '인', '들이다', '곳', '방문', '하다', '엄청', '고생', '한', '기억']",부정
한강이 있씀에 늘감사하는맘으로살아요~^^,0,55,"['한강', '쓰다', '늘', '감사하다', '맘', '살다', '~^^']",긍정
시원한 강 바람을 맞으며 휴식을 취하기 좋은곳,0,56,"['시원하다', '강', '바람', '맞다', '휴식', '취하', '기', '좋다', '곳']",긍정
날씨 좋을때가면 좋은곳 ㅋ,0,57,"['날씨', '좋다', '가면', '좋다', '곳', 'ㅋ']",긍정
저녁 22시경에  약1시간 걸었어요,0,58,"['저녁', '22시', '경에', '약', '1시간', '걸다']",부정
"공기가 좋고, 강바람 시원해요",1,58,"['공기', '좋다', '강바람', '시원하다']",긍정
나무들의 향기도 아주좋아요,2,58,"['나무', '향기도', '아주', '좋다']",긍정
놀이터캔맥주 사서 시원한 저녁에 한…,3,58,"['놀이터', '캔', '맥주', '사서', '시원하다', '저녁', '하다']",긍정
자세히,4,58,['자세하다'],부정
한강은 언제나 좋다.,0,59,"['한강', '은', '언제나', '좋다']",긍정
하지만 눈오는 겨울에는 더 좋다.,1,59,"['눈', '오다', '겨울', '에는', '더', '좋다']",긍정
이쁘니까.,2,59,['이쁘다'],긍정
운동하기 좋아요,0,60,"['운동', '하다', '좋다']",긍정
15년만에 가 보았는데 전보다 더욱 좋았어요,0,61,"['15년', '만에', '가다', '보다', '전보', '다', '더욱', '좋다']",긍정
친구들과 자전거 라이딩하며 지나가서 현지현황은 잘 알지못합니다,0,62,"['친구', '자전거', '라이딩', '하다', '지나가다', '현', '지', '현황', '은', '자다', '알다', '하다']",긍정
편의시설 볼거리 쉼터 나들이 데이트 휴식 산책  여름에는 수영장 운영 겨울은 눈설매장 미니 놀이기구 가족나들이 하기 좋아요,0,63,"['편의', '시설', '볼거리', '쉬다', '터', '나들이', '데이트', '휴식', '산책', '여름', '에는', '수영장', '운영', '겨울', '은', '눈설', '매장', '미니', '놀이기구', '가족', '나들이', '하다', '좋다']",긍정
"잠실대교와영동대교사이의강변 북단 에있는 광진구의한강공원으로,1982 ∼1987년에뚝섬유원지를개편하여설립 된공원이 다.",0,64,"['잠실대교', '영동대교', '사이', '강변', '북단', '광진구', '한강', '공원', '1982', '∼', '1987년', '에뚝섬유원지를개편하여설립', '되다', '공원', '다']",긍정
"접근성이좋은것
도인기요인이다 .",1,64,"['접근성', '좋다', '\r\n', '도인', '기', '요인', '이다']",긍정
뚝섬한강 공원은서울 광진구에자리잡고 있다 .,2,64,"['뚝섬', '한강', '공원', '은', '서울', '광진구', '자리', '잡고']",긍정
"365
일연중무휴 로운영 하고입장료는'0원' 이다.*",3,64,"['365', '\r\n', '연중', '무', '운영', '하다', '입장료', '는', '0원', '이다', '.*']",긍정
대중교통 :7호선)뚝섬유원지역2.3 번출구~,4,64,"['대중교통', ':', '호선', '뚝섬유원지역', '2.3', '번', '출구']",긍정
사시사철 그냥 좋다.,0,65,"['사시', '사철', '그냥', '좋다']",긍정
넓다..,0,66,"['넓다', '..']",부정
좋다.,1,66,['좋다'],긍정
시원하다.,2,66,['시원하다'],긍정
모든게 평화롭다.,3,66,"['모든', '게', '평화롭다']",긍정
내 마음도,4,66,"['내', '마음', '도']",긍정
좋아요,0,67,['좋다'],긍정
오리보트타고 놀이터투어하고 그늘막도 칠수있고.,1,67,"['오리', '보트', '타고', '놀이터', '투어', '하고', '그늘', '막도', '치다']",긍정
자전거 농규.,2,67,"['자전거', '농규']",긍정
킥보드 놀기 좋아요.,3,67,"['킥', '보드', '놀다', '좋다']",긍정
봄..,0,68,"['봄', '..']",부정
가을은 한강이지~~♡,1,68,"['가을', '은', '한강', '이지', '~~', '♡']",긍정
"한강공원 걷기운동 후
차 한잔에 휴식시간이
정말 좋아요!",0,69,"['한강', '공원', '걷기', '운동', '후', '\r\n', '차', '한잔', '휴식시간', '\r\n', '정말', '좋다']",긍정
"주차장, 교통수단, 시설 모두 굿 산책로도 꽤나 좋았습니다.",0,70,"['주차장', '교통', '수단', '시설', '굿', '산책로', '도', '꽤', '좋다']",긍정
마라톤도 잘했그요,1,70,"['마라톤', '도', '잘', '하다', '그요']",긍정
"드론쇼가 수변 공원에서 공연한다기에 일찍자리잡고
구경 잘하고 왔습니다.",0,71,"['드론', '쇼', '수', '변', '공원', '공연', '한', '다기', '일찍', '자리', '잡고', '\r\n', '구경', '잘', '하다', '오다']",긍정
야경이 좋은 한강공원,0,72,"['야경', '좋다', '한강', '공원']",긍정
날좋으면 바람쐬기 좋아요,0,73,"['날', '좋다', '바람', '쐬다', '좋다']",긍정
2023 드론 라이트쇼,0,74,"['2023', '드론', '라이트', '쇼']",부정
날이 시원해서 좋네여~},0,75,"['날', '시원하다', '좋다', '~}']",긍정
좋아요,0,76,['좋다'],긍정
야경멋지네요,1,76,"['야경', '멋지다']",긍정
넘 좋아요,0,77,"['넘다', '좋다']",긍정
몇 년 전에 와보니 이동네로 이사했지요,1,77,"['전', '오다', '보다', '동네', '이사', '하다']",긍정
드론쇼,0,78,"['드론', '쇼']",부정
잘보고왓어요!,1,78,"['잘', '보다', '왓', '요']",긍정
그냥좋아그냥좋아좋다교요쿼댜,0,79,"['그냥', '좋다', '그냥', '좋다', '좋다', '교', '요', '크다', '댜']",긍정
놰ㅓ비ㅏㅂㅌ뉴ㅣ ㅂㅇ투윹ㅇㅌ버ㅠㄷ텁듀탭ㅇ쳐ㅐㅗㅂㄹ처ㅔㄹ저ㅣㄹㅈ칱뷰ㅗㅔㅈㅌ오ㅔㅓㅂㄷ차듀뱌ㅔㅏㅏㅠㅠ1ㅌ디ㅓㅠㅇ1튜ㅓ튜ㅠㅌ버ㅠㅓㅈㅈㅍ정퓨 ㅇ튜ㅣㅍ되ㅓㅌㅍㅂ터ㅣㅍㄷ터ㅣㅍㅂㄷ티ㅓㄴㅂ ㅣㅠㅇㅌ법ㅍ디ㅓㅠㅂㄷ티ㅓㅇㅌ쟈ㅔ종티ㅠㅈ이ㅓㅠㅇ2탸ㅗㅂ래ㅓ1래걷돕엪ㅂ디ㅓㅠㅇㅂ탖뉴,1,79,"['놰', 'ㅓ', '비', 'ㅏㅂㅌ', '뉴', 'ㅣ', 'ㅂㅇ', '투윹', 'ㅇㅌ', '버', 'ㅠㄷ', '텁듀탭', 'ㅇ', '치다', 'ㅐㅗㅂㄹ', '처', 'ㅔㄹ', 'ㅣㄹㅈ', '칱뷰', 'ㅗㅔㅈㅌ', 'ㅔㅓㅂㄷ', '차듀뱌', 'ㅔㅏㅏㅠㅠ', 'ㅌ', '디', 'ㅓㅠㅇ', '튜', 'ㅓ', '튜', 'ㅠㅌ', '버', 'ㅠㅓㅈㅈㅍ', '정퓨', 'ㅇ', '튜', 'ㅣㅍ', '되다', 'ㅓㅌㅍㅂ', '터', 'ㅣㅍㄷ', '터', 'ㅣㅍㅂㄷ', '티', 'ㅓㄴㅂ', 'ㅣㅠㅇㅌ', '법', 'ㅍ', '디', 'ㅓㅠㅂㄷ', '티', 'ㅓㅇㅌ', '쟈', 'ㅔ', '종티', 'ㅠㅈ', 'ㅓㅠㅇ', '탸', 'ㅗㅂ', '래', 'ㅓ', '래걷돕엪', 'ㅂ', '디', 'ㅓㅠㅇㅂ', '탖뉴']",긍정
산책도 하고 구경도 하고,0,80,"['산책', '도', '하다', '구경', '도', '하다']",긍정
가볍게 산책하기 좋아요,0,81,"['가볍다', '산책', '하다', '좋다']",긍정
한강공원에서 치맥하거나 자전거 타기 최적,1,81,"['한강', '공원', '치맥', '거나', '자전거', '최적']",긍정
"숲과 강과 사람이 어우러져
휴일에 힐링하기 좋은 곳이다",0,82,"['숲', '강', '사람', '어우러지다', '\r\n', '휴일', '힐링', '하다', '좋다', '곳', '이다']",긍정
애견수영장,0,83,"['애견', '수영장']",부정
"드론쇼 관람
분수쇼",0,84,"['드론', '쇼', '관람', '\r\n', '분수', '쇼']",긍정
"라이딩 날씨도 모처럼 너무좋고
라이딩도 잘 했네요",0,85,"['라이딩', '날씨', '도', '모처럼', '너무', '좋다', '\r\n', '라이딩', '도', '자다', '하다']",긍정
"가성비 가심비 굿, 사람 많고 화장실 깨끗하지 않은것이 단점",0,86,"['가성', '비', '가시다', '비', '굿', '사람', '많다', '화장실', '깨끗하다', '않다', '단점']",부정
수영장은 아이 있는 분들이 오는게 나을듯,0,87,"['수영장', '은', '분', '오다', '나다']",부정
드론쇼 기대기대,0,88,"['드론', '쇼', '기대다']",긍정
뚝섬 한강 수영장 아이들 놀기 좋아요!,0,89,"['뚝섬', '한강', '수영장', '놀다', '좋다']",긍정
여유롭게 시간 보내기 좋아용,0,90,"['여유롭다', '보내다', '좋다']",긍정
2월은 추워서 좀더 따뜻할때 방문하면좋을듯화장실몇군다 다 막아놨어요 ㅠㅠ,0,91,"['2월', '은', '춥다', '좀더', '따뜻하다', '방문', '하다', '좋다', '화장실', '군', '다', '다', '막다', 'ㅠㅠ']",긍정
여유 있는 서울을 느끼고 싶을 때 가시오,0,92,"['여유', '서울', '느끼다', '싶다', '갈다']",긍정
가족단위 피크닉에 최적의 장소입니다.,0,93,"['가족', '단위', '피크닉', '최적', '장소', '이다']",긍정
밤분수쇼!,0,94,"['밤', '분', '수', '쇼']",긍정
환상적입니다,1,94,"['환상', '적', '이다']",긍정
아이들과 다녀왔어요,0,95,['다녀오다'],긍정
한강보고 좋았어요,1,95,"['한강', '보고', '좋다']",긍정
운동하려고 다녀와네요,0,96,"['운동', '하다', '다녀오다']",긍정
좋아요~,0,97,['좋다'],긍정
굿,0,98,['굿'],긍정
물에서 물비린내가 심하게남,0,99,"['물', '물', '비리다', '심하다', '남']",부정
힐링되는 강아지 산책 공원 입니다!,0,100,"['힐링', '되다', '강아지', '산책', '공원', '이다']",긍정
청소하는아줌마가 불친절해요,0,101,"['청소', '하다', '아줌마', '불친절하다']",부정
넘 좋아요,0,102,"['넘다', '좋다']",긍정
야경이 매우 아름다움,0,103,"['야경', '매우', '아름답다', '움']",긍정
BTS 공연굿  폭쭉 굿,0,104,"['BTS', '공연', '굿', '폭쭉', '굿']",긍정
좋은 자전거 타새요반려견 동반 환경건강하세요,0,105,"['좋다', '자전거', '타', '새', '요', '반려견', '동반', '환경', '건강하다']",긍정
매일 위킹 갑니다,0,106,"['매일', '위킹', '가다']",긍정
화장실그런대로 관리가 잘되고있음… 자세히,1,106,"['화장실', '그런대로', '관리', '잘', '되다', '자세하다']",긍정
괜찮았어요,0,107,['괜찮다'],부정
굿 피크닉 나이스,1,107,"['굿', '피크닉', '나이스']",긍정
마음의 고향같은 곳,0,108,"['마음', '고향', '곳']",긍정
황홀한 밤풍경 + 사람들..,0,109,"['황홀하다', '밤', '풍경', '사람', '..']",부정
내가 운동시작하는곳...,0,110,"['내', '운동', '시작', '는', '곳']",긍정
자전거 타기 좋음,0,111,"['자전거', '좋다']",긍정
편의시설 부족,0,112,"['편의', '시설', '부족']",부정
좋아요~~~~,0,113,"['좋다', '~~~~']",부정
한강라면 먹으러 갑니다.,0,114,"['한강', '라면', '먹다', '가다']",긍정
걷기 좋아요!,0,115,"['걷기', '좋다']",긍정
드론쇼 구경,0,116,"['드론', '쇼', '구경']",긍정
멋집니다,0,117,['멋지다'],긍정
힐링,0,118,['힐링'],긍정
야경 좋음,0,119,"['야경', '좋다']",긍정
좋아용,0,120,['좋다'],긍정
산책..!,0,121,"['산책', '..!']",부정
좋아요,0,122,['좋다'],긍정
뚝섬 한강공원 마라톤대회장 으로 많는 많이 분주합니다,0,123,"['뚝섬', '한강', '공원', '마라톤', '대', '회장', '많다', '많이', '분주하다']",긍정
아!,0,124,[],부정
"고구려 역사지키기 마라톤 대회
하프코스 참여
2024.02.25",1,124,"['고구려', '역사', '지키다', '마라톤', '대회', '\r\n', '하프', '코스', '참여', '\r\n', '2024.02', '25']",긍정
서울시 한복판 눈놀이장..,0,125,"['서울시', '한', '복판', '눈', '놀이', '장', '..']",부정
이곳은 현지 한국인들에게만 잘 알려진 숨겨진 보석입니다..,1,125,"['곳', '은', '현지', '한국인', '에게만', '자다', '알려지다', '숨기다', '보석', '이다', '..']",부정
성인과 어린이 모두에게 적합합니다..,2,125,"['성인', '어린이', '적합하다', '..']",부정
원래는 수영장이었던 것 같은데 겨울에는 눈놀이장으로 바뀌는 것 같아요..,3,125,"['원래', '는', '수영장', '이다', '겨울', '에는', '눈', '놀이', '장', '바뀌다', '..']",부정
해외카드는 안되기 때문에 현금을 많이 가져가시는게 좋아요..,4,125,"['해외', '카드', '는', '안되다', '때문', '현금', '많이', '가져가다', '좋다', '..']",긍정
여기 많은 사람들이 영어를 하지 못하기 때문에 의사소통이 조금 어렵습니다..,5,125,"['많다', '사람', '영어', '하다', '못', '하다', '때문', '의사소통', '어렵다', '..']",부정
"놀이 공간은 신나고, 우리 아이는 여기서 노는 것을 정말 좋아합니다..",6,125,"['놀이', '공간', '은', '신나다', '는', '서', '노', '는', '정말', '좋아하다', '..']",긍정
전반적으로 훌륭합니다! 👍,7,125,"['전반', '적', '훌륭하다', '👍']",긍정
미끄럼틀과 스노우파크는 겨울(12월 초순~2월경)에만 개장합니다.,0,126,"['미끄럼틀', '스노우', '파크', '는', '겨울', '12월', '초순', '2월', '경', '에만', '개장', '하다']",긍정
"입장료는 6,000원(36개월 이상 어린이는 유료)

이 지역 내에는 더 많은 비용을 지불해야 하는 몇 가지 다른 게임/명소가 있습니다.",1,126,"['입장료', '는', '6,000원', '36', '개월', '어린이', '는', '유료', '\r\n\r\n', '지역', '내', '에는', '더', '많다', '비용', '지불', '하다', '하다', '가지', '게임', '/', '명소']",부정
놀이터슬라이딩 파크 앞에 놀이터가 있습니다.,2,126,"['놀이터', '슬라이딩', '파크', '앞', '놀이터']",긍정
(무료입니다.),3,126,"['무료', '이다', '.)']",긍정
나는 드론 쇼를 위해 거기에 갔다.,0,127,"['는', '드론', '쇼', '위해', '거기', '가다']",부정
그들이 조직한 쇼는 정말 대단했다.,1,127,"['조직', '한', '쇼', '는', '정말', '대단하다']",부정
하지만 차량을 타고 공연 날짜와 시간을 정한다면 일찍 가세요.,2,127,"['차량', '타고', '공연', '날짜', '정', '하다', '일찍', '가세', '요']",긍정
그렇지 않으면 지하철이 최선의 선택입니다.,3,127,"['그렇다', '않다', '지하철', '최선', '선택', '이다']",긍정
"또한 이 사이트에서 롯데타워 건물 전망을 즐길 수 있으며, 또한 일몰 및 기타 서울 주요 랜드마크를 볼 수 있습니다.",4,127,"['사이트', '롯데', '타워', '건물', '전망', '즐기다', '수', '일몰', '서울', '주요', '랜드마크', '볼', '수']",부정
이 장소.,5,127,['장소'],부정
"강변을 따라 산책도 하고, 스포츠 연습도 하기 좋은 곳...",0,128,"['강변', '따르다', '산책', '도', '하다', '스포츠', '연습', '도', '하다', '좋다', '곳']",긍정
다양한 이벤트도 진행하고 있으니 미리 확인하고 즐기시는 걸 추천드려요,1,128,"['다양하다', '이벤트', '도', '진행', '하고', '미리', '확인', '하고', '즐기다', '걸', '추천', '드리다']",긍정
비용은 없습니다.,0,129,"['비용', '은', '없다']",부정
아무때나 가세요.,1,129,"['아무', '가세', '요']",긍정
부두에 정박한 해적선에는 711 커피숍과 치킨집이 있습니다.,2,129,"['부두', '정박', '한', '해적선', '에는', '711', '커피숍', '치킨', '집']",긍정
"3인이 30,000원에 자전거를 빌려 타고 피크닉을 즐기고 오리 패들 보트를 타는 등 많은 일을 할 수 있습니다.",3,129,"['인', '30,000원', '자전거', '빌리다', '타고', '피크닉', '즐기다', '오리', '패', '보트', '많다', '하다', '수']",긍정
"녹지 공간, 동상, 등산용 벽이 있는 한강변의 아름다운 공원",0,130,"['녹지', '공간', '동상', '등산', '용', '벽', '한', '강변', '아름답다', '공원']",긍정
뚝섬한강공원은 아름다운 한강을 즐길 수 있는 공원 중 하나이다.,0,131,"['뚝섬', '한강', '공원', '은', '아름답다', '한강', '즐기다', '수', '공원', '중', '이다']",긍정
우리는 서울 페스타 2023의 유명한 한강 드론 쇼를 즐기기 위해 그곳에갔습니다.,1,131,"['는', '서울', '페스', '타', '2023', '유명하다', '한강', '드론', '쇼', '즐기다', '위해', '곳', '가다']",긍정
드론 쇼는 8시 30분부터 8시 40분까지 10분 동안 진행되며 기다릴만한 가치가 있었습니다!,2,131,"['드론', '쇼', '는', '8시', '30분', '8시', '40분', '10분', '진행', '되다', '기다리다', '한', '가치']",긍정
좋은 자리를 잡기 위해 7시에 도착했는데 이미 많은 사람들이 와 있었습니다🤣,3,131,"['좋다', '자리', '잡기', '위해', '7시', '도착', '하다', '이미', '많다', '사람', '오다', '🤣']",긍정
그래도 좋은 자리를 잡을 수 있었고 드론 뷰는 정말 멋졌습니다.,4,131,"['좋다', '자리', '잡', '수', '드론', '뷰', '는', '정말', '멋지다']",긍정
뚝섬 지하철이 바로 거기에 있어요.,5,131,"['뚝섬', '지하철', '거기']",긍정
어떤 교통수단을 이용해도 갈 수 있습니다.,6,131,"['어떻다', '교통', '수단', '이용', '하다', '갈다', '수']",긍정
하지만 밤에는 버스가 자주 다니지 않기 때문에 지하철을 이용하는 것이 더 좋습니다.,7,131,"['밤', '에는', '버스', '자주', '다니다', '않다', '때문', '지하철', '이용', '하다', '더', '좋다']",긍정
드론샷 구경해보세요 🙌…,8,131,"['드론', '샷', '구경', '해보다', '🙌']",긍정
한강을 따라 자전거 타기 하루를 시작하기에 좋은 장소입니다.,0,132,"['한강', '따르다', '자전거', '하루', '시작', '하다', '좋다', '장소', '이다']",긍정
시간당 3000부터 임대하세요.,1,132,"['당', '3000', '임대', '하다']",부정
주말에는 수영장이 매우 혼잡합니다.,2,132,"['주말', '에는', '수영장', '매우', '혼잡하다']",긍정
평일에 방문하는 것이 더 좋습니다.,3,132,"['평일', '방문', '하다', '더', '좋다']",긍정
별거 없습니다.,0,133,"['별거', '없다']",부정
전망대 타워는 오늘 문을 닫습니다.,1,133,"['전망대', '타워', '는', '오늘', '문', '닫다']",부정
롯데타워가 보입니다.,2,133,"['롯데', '타워', '보이다']",부정
사람들은 여기서 자전거를 타요.,3,133,"['사람', '은', '서', '자전거', '타요']",부정
"멋진 드론 쇼다, 미친 사람들아!",0,134,"['멋지다', '드론', '쇼', '다', '미치다', '사람']",긍정
휴식과 피크닉을 위한 놀라운 장소.,0,135,"['휴식', '피크닉', '위', '한', '놀랍다', '장소']",긍정
앉아서 분위기를 즐길 수 있는 벤치가 많이 있습니다.,1,135,"['앉다', '분위기', '즐기다', '수', '벤치', '많이']",긍정
놀이터여름에는 아이들이 이곳에서 놀 수 있습니다.,2,135,"['놀이터', '여름', '에는', '곳', '놀', '수']",긍정
관광 명소는 좋고 안전합니다.,3,135,"['관광', '명소', '는', '좋다', '안전하다']",긍정
자세히,4,135,['자세하다'],부정
저녁에 산책하기 좋은 곳.,0,136,"['저녁', '산책', '하다', '좋다', '곳']",긍정
이야기하고 휴식을 취하기에 좋은 장소입니다.,0,137,"['이야기', '하고', '휴식', '취하', '기', '좋다', '장소', '이다']",긍정
훌륭하고 훌륭한 쇼 😃…,0,138,"['훌륭하다', '훌륭하다', '쇼', '😃']",긍정
스케이트보더라면 이 공원을 꼭 방문해보세요.,0,139,"['스케이트보더', '라면', '공원', '꼭', '방문', '해보다']",긍정
많은 스케이터들을 만날 수 있는 국내 최대 규모의 공원입니다.,1,139,"['많다', '스케', '터', '만날', '수', '국내', '최대', '규모', '공원', '이다']",긍정
그냥 가서 타세요.,2,139,"['그냥', '가다']",부정
뚝섬에서 강변길을 ​​따라 자전거를 타고 찾아온 경치 좋은 광장!,0,140,"['뚝섬', '강변', '길', '\u200b\u200b', '따르다', '자전거', '타고', '찾아오다', '경치', '좋다', '광장']",긍정
정말 아름다운 공원이에요.,0,141,"['정말', '아름답다', '공원', '이에요']",긍정
"남준이가 여기서 'Reflection'이라는 곡을 썼다고 해서 특별히 방문했는데, 경치가 너무 좋았어요.",1,141,"['남', '주다', '서', 'Reflection', '이라는', '곡', '써다', '하다', '특별하다', '방문', '하다', '경치', '너무', '좋다']",긍정
화장실… 자세히,2,141,"['화장실', '자세하다']",긍정
한강의 풍경을 감상하고 산책하며 휴식을 취할 수 있는 최고의 장소,0,142,"['한강', '풍경', '감상', '하고', '산책', '하다', '휴식', '취할', '수', '최고', '장소']",긍정
피크닉을 즐기기에 좋은 장소입니다.,0,143,"['피크닉', '즐기다', '좋다', '장소', '이다']",긍정
겨울에는 강남 근처에서 눈놀이놀이터겨울에는 눈이 쌓인 땅,0,144,"['겨울', '에는', '강남', '근처', '눈', '놀이', '놀이터', '겨울', '에는', '눈', '쌓이다', '땅']",긍정
드론쇼는 완벽했어요,0,145,"['드론', '쇼', '는', '완벽하다']",긍정
재미있다,0,146,['재미있다'],긍정
항상 좋다,0,147,"['항상', '좋다']",긍정
41명의 그룹이 편안하게 식사를 제공합니다.,0,148,"['41', '명의', '그룹', '편안하다', '식사', '제공', '하다']",긍정
화장실사용 가능,1,148,"['화장실', '사용', '가능']",긍정
후라이드치킨을 먹을 수 있는 완벽한 장소 🙌…,0,149,"['후라이드', '치킨', '먹다', '수', '완벽하다', '장소', '🙌']",긍정
서울 최고의 장소 중 하나놀이터모든 종류의 놀이터,0,150,"['서울', '최고', '장소', '중', '놀이터', '모든', '종류', '놀이터']",긍정
정말 크고 전망도 좋아요,0,151,"['정말', '크다', '전망', '도', '좋다']",긍정
나는 이곳을 좋아한다!!,0,152,"['는', '곳', '좋아하다', '!!']",긍정
한번도 없었어,0,153,"['한번', '도', '없다']",부정
표면적으로는 용납됩니다.,0,154,"['표면', '적', '으로는', '용납', '되다']",부정
