,광나루한강공원리뷰
0,한강을 가까이 볼 수 있어서 좋고 수풀향기도 그대로 맡을수 있어 좋다. 산책로가 잘 되어 있어서 걷기에도 좋다.
1,"야외수영장 아이들 놀기좋음 수심 얕음
수영장 옆 놀이터도 너무좋아요"
2,"추석 연휴에 아이들이랑 같이 갔어요
주차장이 무료로 제공되었는데..
늦게가서 주차는 못했어요

놀이터도 큰 편이고 그물망이 되어 있어 아이들이 좋아하더라구요

특히 모래놀이가 특히 잘되어 있는 것 같아요
모래만 모아 놓은 곳 안에 수돗물 나오는 곳도 있어서 모래로 하고 싶은건 왠만하면 다 할 수 있을 것 같아요

장애인도 쓸 수 있는 그네는 처음 봤었는데 그네 무서워 하는 애들은 좋을 것 같아요

바로 옆에 (가을이라 운영은 안했지만)수영장도 있고 드론운동장? 도 있더라구요

그 앞에 나무도 가지런하게 있어서 사진찍으면 예쁘게 나오는 것 같아요
장미꽃을 길 따라서 심어 놓았는데 장미 피는 시기에 가면 좋을 것 같아요

또 조금만 걸어가면 한강이 있어서 좋았어요"
3,저렴하고 외부 음식 반입 가능하니 간단하게 놀기 좋음. 수심도 0.9라서 저학년 아이들도 부담없이 놀수 있음 다만 수질은 좀 아쉬움
4,산책하기 좋아요
5,암사역에서 도보로 10분 가량 걸으면 나오는 공원. 단언컨대 그 어떤 한강공원보다 강물을 가까이서 볼 수 있음.화장실5분거리마다 화장실이 있는듯.피크닉 구역돗자리 깔고 앉을 곳이 많음.
6,"한강에 인접한 광나루 주차창과 함께
장미로 인해 야외 결혼식이 자주 예약된다고 한다."
7,"놀이터도 좋고
드론날리기도 좋고
편의점에서 라면 먹기도 좋아요."
8,주차비도 저렴하고 사람도 많이 없네요. 시설은 많은데 이용가능한 시설은 현재 별로없습니다. 잔디는 4월부터 입장가능하구요. 생육중이라 입장불가입니다. 주차장은 3곳 있는거 같네요. 2주차장 가니 잔디밭하고 자전거 렌트하는곳 가깝네요.
9,한강공원치고 특별한 건 많이 없습니다 다만 자전거 타기에는 환경조성이 잘 되어 있고 부지도 널찍한 곳들이 많아서 시끄러운 거 싫어하고 한적하게 한강 보고 싶으면 상당히 괜찮은 선택지 입니다
10,"광진교 부근으로 자리를 잡았는데 체육시설과 치안센터가 있고 음주단속.텐트등 단속이 잘되서 좋았다.
그리고 광진교도 걷기 넘 좋은곳이다"
11,"한강중    아차산을 마주하고 있어
그 풍광이  수려하고    자전거 공원과
강아지들 뛰어 노는  모습을
보고 있으면  잠시  스트레스에서
벗어 나네요~
살쪄서  주인 따라가기  힘들어 하는
강아지들  보면  넘  웃겨요~
개 산책 시키러 나왔다가  주인끼리
눈  맞는~~    아~  아름다운 곳이죠 ㅎㅎ^^"
12,10월 30일인데도 장미꽃이 만발했습니다
13,주말인데도 사람이 아주 많진 않았어요~
14,"한강수영장 중 가장 사람 적은곳
그만큼 시설 규모면에선 크지 않은

한강 남측 맞은편 워커힐호텔이 보이는 광나루한강공원내 한강수영장 입니다. 주차장은 수영장 좌우에 위치하며 수영장과는 꽤 먼편이나 좌측 주차장이 조금 더 가깝습니다. (공원 차단기 바로 앞 주차장)

시운영으로 입장료 또한 저렴한 한강수영장입니다. 성인기준 5천원, 네이버예약시 인당 500원 할인(단, 당일구매사용불가), 5세미만 무료(증빙서류원본필히지참)

성인풀과 가족풀 모두 넓은 면적이며 유아풀에는 2개의 작은 슬라이드가 있습니다. 단, 초등생 이상은 사용불가. 성인풀은 스킨슈즈 포함 아쿠아슈즈는 신을 수 없고, 유일하게 일반모자가 아닌 수영모가 필수입니다.

팀당 파라솔 자리 하나씩 제공되며 텐트를 가져올 경우 별도 구역(유아풀을 둘러싸는)에만 설치가능합니다. 선베드는 별도비용발생.

내부상점물가는 미쳤으니 수영모 등 물놀이물품은 반드시 챙겨가길 바라며, 매점 또한 비싼편입니다. 외부음식은 허용하나 주류반입은 엄격히 체크하는 편입니다.

타 한강수영장 대비 외곽인 편에 사람이 적은 편이라는것이 가장 큰 장점일듯 합니다."
15,산책하기 너무 좋아요
16,"날씨도 폰근하고 개나리, 벚꽃도 활짝 피어 돗자리 들고 사람들이 많이 나왔네요.
천호역에서 접근성도 좋고 한강뷰도 멋져요."
17,"#광나루 한강공원(10/30)
-.사람이 많지 않고 조용히 산책하기 좋은 한강공원.
-.자전거도로와 인도가 구분되어 있음.
-.데크길이 있어 잠실, 여의도쪽 한강공원가는 느낌이 조금 다름.
-.물도 하류보다 맑아 보여, 풍경이 더 장관이었음."
18,"다른곳보다 조용하고, 더 평온한 한강공원"
19,"일상 스트레스는 시원한 강바람에 날려가고
한강변 잔디밭에 앉은 가족과 친구와 이웃과는
건강의 자리이자 행복의 광장....
준비물 필요없이 산책 걷고 달리고 자전거
족구 농구 배구 축구 배드민턴 연날리기 체육시설
식음료 모든게 갖춰진 서울의 자랑거리"
20,장미꽃들이 만발하여 너무 이쁘구 힐링이 아주 잘되는곳임니다~~
21,"하남가기전 보급할 수 있는 국토종주코스..
정신과 시간의 방전에 보급 필수"
22,"수심은 낮지만 놀만 합니다.입장료가 너무 싸잖아요ㅎ
휴식타임에 부유물좀 잘 제거하시고 물샤워 안하고 샴푸제품 쓰시는 분들 철저히 단속좀 해주세요.화장실에어컨이 돌아가는 시원한 화장실인데 문을 활짝열고다녀서 전력낭비가 심각합니다.시민의식도 문제지만 요원들이 잘 봐야 할듯 합니다"
23,이곳에 가면 자연을 가까이에서 체험하듯 늘 편한 느낌을 받습니다.
24,편의시설이 잘 되어있는 것 같습니다.
25,"가족과 함께 물놀이하기에 좋습니다. 사람은 제법 많은 편이고 야외 수영장이라서인지 물은 깨끗하지 않아요.

수영보다는 물놀이를 하러 간다고 생각하셔야 합니다."
26,"아이들 놀이터, 매점, 운동기구, 화장실, 그늘막 허용 잔디밭, 드론비행장, 인라인스케이트장, 간이 야구장과 축구장, 무궁화공원, 생태공원 숲 산책로 등이 있어 가족끼리 연인끼리 남녀노소 누구나 힐링하며 시간 보낼 수 있음."
27,자전거 국토종주 인증이 가능한 곳이에요^^화장실100m떨어진곳에 화장실 있습니다^^
28,"12개한강시민공원 중 광나루 한강 시민공원은 서울시의 유일한 상수원 볼호구역으로 각종 수상레저활동이 금지되어있는 물이맑고 깨끗한 지역이다.한강 상류로 부터 유입된 토사가 퇴적되어 자연스럽게 형성된 모래톱과 대규모 갈대군락지로 자연 그대로의 한강모습을 잘 유지하고 있는 곳이다. 철새들의 서식지 이기도 하며, 근처에는 암사동 유적이 위치하여 자연과 문화가 잘 조화를 이루는 곳이기도 하다."
29,드론 날리러 갔는데 예약을 안해서 그냥왔네요 ㅠㅠ
30,"한강공원 중 상당히 큰 규모이며 다양한 여가 시설, 깨끗하고 관리상태가 아주 좋은 공원입니다.
암사동 생태경관 보존지역(암사생태공원), 족구장, 농구장, 축구장, 배구장, 테니스장, 수영장, 광나루 모두의 놀이터, 로즈가든, 한강드론공원, 광나루 자전거공원, 도미부인 설화 황포돛대, BMX 레이싱 경기장, 인라인 스케이트장, 파크골프장, 무궁화동산, 스케이트보드장, 야구장 등이 있습니다.
한바퀴 다 도는데 대략 12km 정도 되네요."
31,"강동구민의 휴식처. 멀리 잠실, 반포 안가도 되겠음"
32,"수영장에 선글라스는 당연하고 안경조차 못쓰고 들어갑니다.(수경외엔 금지)
성인풀이라고 하기도 애매한 성인풀엔 아쿠아슈즈도 금지입니다.
그리고 수영모 꼭 착용해야 합니다.(캡모자든 뭐든간에 안쪽에 수영모 착용 후 쎠야합니다.)
다이빙 금지 뛰어들기 금지라고 써놓고 애들이 다이빙하고 뛰어들어도 전혀 제재없습니다."
33,주차장이 여유있다
34,"서울에서 맘 편히 드론을 날리고 싶다면 이곳 뿐이죠..
단 비행기를 날리는 사람들과 함께 해야한다는 점이 좀 신경쓰입니다."
35,"자전거이용하는데 에어주입할곳이 부족합니다.
특히 휴일이나저녁에"
36,분위기 좋고 편의점 라면도 맛있어요
37,조용조용하고 도심지의 한강보다 공기가 너무 좋음
38,"일출의 한강 VIEW

피곤하고 힘들어도... 나가면 이리 좋은걸..."
39,클레이 코트는 적응이 안돼요. 판교에서는 좀 먼 느낌
40,"걷고,자전거 타고 시원하고  너무 좋네요~"
41,"아이들 데리고 한번쯤  와볼만한 곳,수영장에 선배드에 누워서 쉬고 옆에있는 공원에서 맘껏뛰어 놀 수 있는곳"
42,깨끗하고 관리 잘 되는 수영장
43,바람 쐐면서 산책하기 좋아요
44,초등저학년에게 최고의 가성비 놀이터 먹거터
45,"공원 시설도 다양하고 접근성도 좋아서 좋은데
자전거 도로가 좀 가깝네여"
46,"확실히 뚝섬지구에 비해서는 덜붐비는것 같습니다
대신 그만큼 정리된 느낌이 덜하기도 하네요. 가족들과 자전거를 타거나 인라인스케이트, 보드등을 탈 수 있는 전용공간이 있어 좋습니다.
다만 장기주차 차량으로 인해 주말에는 주차하기가 쉽지 않네요"
47,주차는 힘들어요 텐트치는곳은 그늘없음주의
48,"안전요원 관리 철저함
수심이 얕음
뙤약볕
수질 그럭저럭"
49,암사동으로 올라오시면 축구장 앞 풍경임니다
50,아름다운곳 숨어있는 놀이터를 찾으삼 ㅋ
51,가까운 곳에 있어서 넘 조아요~^__^
52,"넓은 공원과 편안하게 자전거를 즐길 수있고 드론공원도 있어 연습도 할 수 있습니다.
또 인라인스케이트도 탈수있는 트렉이있어 가조기리 레포츠를 즐기기에 좋은 장소입니다."
53,매일 운동하고 산책하기
54,"잔디 구역이 있어 아이들과 함께 나와 휴식을 취하기 좋습니다. 다만, 사람들이 화장실 시설을 바르게 사용하지 않아 지저분합니다. 아이들 킥보드, 자전거, 스케이트보드, 인라인 등 타기 좋아요"
55,호주에서 지낼때 보던 그런 느낌의 공원같은 암튼 좋았어요~~!ㅋ
56,생각보다 넓고 깔끔했습니다 화장실은 좀 먼듯
57,코로나 시대 가족과 나들이 하기 좋은 곳
58,"한강의 능수버들, 광나루에서 구리, 남양주까지"
59,한강은 라면이죠. 깨끗하게 뒷정리늨 필수``
60,나날이 업그레이드 되가는 곳이라고 생각됩니다. 그만큼 이곳에 관심과 투자가 이루어지느 것 같다는 느낌을 시간간격을 두고 갈때마다 변화되는 환경과 시설에서 느끼게 됩니다. 드론 비행이 가능하고 시설또한 굉장히 잘되있으며 이용하는 분들이 매너가 좋습니다.
61,"분명히 19시까지만 텐트 운영이 가능 하다고 안내문이 있지만 아무도 지키지 않는 현실.
동네 개새끼들 다 모였는지 벤치근처에 사람이 앉아있든 없든 개새끼가 오줌으로 벤치에 영역 표시하는 민폐를 주인이 막지 않는다.
나무 근처에 참치캔 놔두는 무개념 아지매들까지 관리가 필요한것같다."
62,"전망이 좋아요.
야경도 좋고요.  춥지 않으면
돗자리 가지고 김밥싸서 강바람 즐기며
친구들과 이야기꽃을 피울수 있는 곳입니다~"
63,아름다운 한강의 봄을 만끽할 수 있습니다.
64,조은데 여기보다 암사쪽으루 가면 더조아요 사람도 덜많아요 잠실로갈수록 사람많고 암사쪽으로 갈수록 사람적고 자연적이고 좋아요
65,"자전거 타다가 쉬기 딱 좋은 자리에 있는데, 쓰레기통이 테이블에서 가까워요. 날벌레와 냄새, 담배꽁초들 아쉬워요"
66,"시민들의 낭만적인 공원  연인들데이트
가족들 산책  강아지두"
67,진정한 모두의 놀이터~
68,라이딩 하기 좋네요.
69,"한강변의 광나루공원
봄의 전령이 살포시 내려오고 있어요"
70,"햇살과 시원한 바람, 한강의 여유로움에 자연의 푸르름이어우러진 멋진 장소입니다.이런 장소가 가까운우리 주변에 있는 게 고마울 따름입니다."
71,"여러종류의 운동시설이 다양하고 푸른 나무들이
많이있어 쉬기좋네요"
72,아이와 함께놀기 매우 좋습니다.
73,자연을 잘보살피고 있는곳
74,주차장이 있어 들어갔는데 여의도처럼 잔디있고 바로 앞에 한강있고 이런게 아니라 운동트랙이 있다. 거의 동네주민이 조깅을 하려고 있는 한강공원이다. 피크닉을 즐기는 곳은 아니다
75,"2면이상 뚫린 텐트설치가능
싸온음식 취식가능
인원에비해 주차장 다소협소"
76,"주말에 산책하기 좋아요. 넓고 경치좋고, 잘 정비되어있는 한강공원입니다. 주차장은 일요일에 무료개방입니다."
77,"저녁먹은 후 걷기운동하러 갔는데
걷는길 옆의 나무들이 모두 가을옷으로 갈아입었다
운동하니 기분좋고
가을옷 갈아입은 나무들 좋고
기분 짱
최고 입니다"
78,"수질도 좋고  분위기도  좋고  사용도 편리합니다.
다만  주차장이  협소하여  걸어서나  대중교통으로  오시면  좋습니다."
79,가족단위로 놀러가기 좋음. 매시간 15분 쉬는 시간이 있고 점심시간은 40분정도 풀장에 못들어감
80,시원한그늘이좀더있으면좋을것같은대 ^.^화장실화만분....
81,"맑은 공기, 여유로운 잔디밭, 꿀맛같은 편의점 라면과 더불어 날이 좋으면 인생 노을도 곧잘 만날 수 있는 곳"
82,수영장도 괜찮지만 매점의 음식이 비싸지않아서 좋다.아이들이 오뎅에 떡볶이를 맛있다고 잘먹더라구요 ~
83,"역시 한국이 정말 좋은나라.발전하는
노력하는 국가임에 제가한국인임이
자랑스럽습니다
공원에 뿌듯함도있지만 작은거의
디테일에 찬사를보냅니다"
84,광나루  공원  아이들놀이터 걷기 드론날리기 장소까지  즐거운 곳놀이터아가들 체력단련 놀이터 가 있어요반려견 동반 환경강아지와 함께 걷기~피크닉 구역봄날 햇볕 좋은날  김밥에 과일 조금 해서 한강 구경가기  추천~
85,맘충들과 초딩이 득실대는곳
86,자전거 라이딩의 출발지. 장거리가 부담스러우면 여기서 팔당까지 다녀오기 딱젛다. 차대놓고 굴다리 통과하면 자전거거리도 만날 수 있음
87,울애기랑 주말마다 힐링하러가요 넘 행복한장소
88,한적하고 좋았어요 드론구경도하고 편의점도 앞에 있어서 맥주도 한잔할 수 있고
89,암사나들목 한강공원 생태공원에서 만난 두꺼비
90,잘 되었다고 생각합니다피크닉 구역시설이 적합하다고요~
91,한강은 언제나 좋네요
92,자연미를 잘 살린 즐길 수 있는 한강공원이예요.
93,"깨끗하게 잘 관리된 한강 공원으로 테니스장, 축구장, 놀이터, 드론 비행장, 자전거 대여점 등등이 존재합니다."
94,드럽고 드러워요 ..  가지마세요
95,"자전거 타기의 성지, 대형자전거 유료 대여소부터 자전거 타기 공원까지 자전거 타고가도 되고, 없으면 대여소에서 빌려서 타도 됨."
96,"드론교육장이 있고, 허가받은 드론비행장이
있어서  드론에 관심이 있는 분들에게 좋은 장소입니다."
97,조용하니 산책하기 좋은 곳
98,수영장도 있고 드론공원도 있음
99,통닭을 사가서 뜯어 먹옷어요
100,강과 하늘과 다리와 주변 환경이 잘 어우려져 쉬기에 좋은 곳입니다.
101,아이와 시간이 남아 다녀왔어요~
102,지나가다가 밴치가 있어서  쉬었다가 오는곳인데 햇빛을 가리는곳이 조금더 있었으면 하는게 아쉽네요
103,혹시  다둥이 카드 있으신 분들은  다둥이 카드만 가지고 오심 안되십니다^^     신분증  의료보험 카드나  주민등록증  다둥이 카드 준비 하셔야 한답니다 혹카메라로  주마증을  찍어서 가심  담부터는 원본 서류 가져오라고 힌답니다
104,시시때때 모습을 달리하는 쉼터..특히 여름밤 에 시원하게 맥주한잔 할수 있는곳..
105,"코로나19로 시민들이 거리두기도잘지키고
예전보다는 스스로 대견할만큼 시민으식이
성숙합니다  대한민국파이팅!"
106,자주 바람쐬러 가는곳인데  대부분 새벽시간대에  가는데 오늘은 저녁시간  8시30분쯤 다녀왔는데 코로나가 없는 때처럼 사람들이 꾀 많았어요 ^^;; 걸어서 한바퀴 돌고 집으로 왔어요ㅎㅎ
107,"선선한 가을 바람과 높은 하늘을 만끽할 수 있는 공간.
코로나의 흉흉함으로부터 탈출"
108,우선 사물함이 2000원인데 한번잠그고 다시열려면 다시 2000원 결제해야되고 아주 불편함 물도 지금기온이 높아서 수영장물이 뜨거움 비추천
109,"사람이 많음...자전거도 많음..고라니도있음 @,@
곳곳에 놀이터와 쉴곳이많음"
110,요즘날씨가 라이딩하고 산책하기 참 좋네요.
111,야경도 좋고 산책나가기 좋음. 풀숲이 많아 밤에 여름에 모기가 많다
112,애들 데리고 바람쐬기 좋음 다만 주차장이 넓지않아 일찍일찍 가는걸로
113,서울에서 신나게 날릴 수 있는 광나루비행연습장~^^
114,넓고 산책하기 좋습니다.
115,"예전에 비해 수질이 많이 좋아진게 보이네요.
스낵코너도 그럭저럭~"
116,새로 바뀐 놀이터가 너무 쾌적합니다
117,수심이 좀 낮구 놀이기구가 없어요..그래두 재미는 있어요!
118,좋으네요 강바람.각종 편의시설.가족들과 좋아요
119,"너무좋아요...5,000원의행복입니다..넓고 께끗하고 그늘막제공.."
120,아이들과 간단히 물놀이 하기 좋아요. 유아용 놀이기구가 있어요.
121,"생태보호구역을 강변으로
끼고 있어 자연환경이
좋습니다"
122,라이딩하기 좋은길이라 좋았어요. 주변도 이쁘네요
123,다른 곳과 비교하면 한적하고 좋아요.
124,"잘 조성된  한강둔치
석양과 강변 야경이 멋진 곳"
125,여러 휴게시설과 운동시설이 잘 갖춰져 있음.
126,"데이트 장소로도 제격임.
물론 그 외의 목적으로도 좋음"
127,"조용한 한강.
반포 여의도와는 달리 편의시설 개발이 부족함."
128,"서울의 한강
야경이 참 아름다운 곳"
129,애들이 좋아해요
130,2019 드론 챌린지
131,가족끼리   가볍게   산책하고   조깅하기에 좋아요
132,"음~좋아요
~"
133,이 근처에서 이만하게 놀 수 있는데가 없죠..무조건..일찍가야함..
134,조금은 일찍 주차를 하고 라이딩 하기에는  정알 좋은 곳이지만 메너 없는 사람들 때문에 오후에 차빼기에 에로사항 있음
135,"너무나 맛있고
면발이 찰지고 메밀향도 좋다."
136,"여름 애들하고 물놀이 하기 좋아요.
간단히 먹을거 준비하면 더 좋아요."
137,"푸른 나무와풀 멋있었고 걷기 운동하기에
좋았습니다"
138,싸고 깨끗해요
139,비 많이 오는 날은 금지...데이트코스 좋아요
140,가족나들이로 최고네요
141,"주민들의 휴식과 여가를 즐길수있으며
광진교 아래에서 가끔 음악공연을 합니다"
142,아이들이 아주 즐겁게 놀수있는곳
143,"항상 갈수 있는곳....화장실남녀 구별되 항상청결함..반려견 동반 환경짧게 깍은 잔뒤에 반려견이
좋아 합니다..피크닉 구역선남선녀 휴식 공간.."
144,대이트하기가좋고 운동기구도많아서좋아요.
145,물도 깨끗하고 시원합니다. 아이들이 놀기 좋습니다.
146,햇볕이   굉장히  강합니다.
147,저렴한 가격에 부담없이 놀 수 있음. 저렴한 만큰 사람도 많음.
148,가족과 아늑하고 편하게 시간 보낼 수 있는곳
149,밤 야경 좋아요
150,드론공원 생각보다 잘되어있네요 좋아요
151,코로나가 없어져서 빨리 드론공원이 오픈되었으면...
152,서울의 자랑 한강 시민공원.
153,좋은 곳이나ᆢ손님 내리고 나가는 택시에게 주차비를 받으려는 것은 불쾌했어요
154,광나루를 언제가봣는지 모르겟...지만 한강은 좋음 매번
155,"시원하고, 사회작 격리 두기도 할 수 있는 장소라고 생각함!"
156,좋아요! 공원이 이쁘고 산책하기도 좋아요
157,굿.
158,코로나로 인해 운동 장소로서는 좋습니다
159,밤에 운동삼아 산책삼아 갈만한 곳.
160,걷기는  최고의  코스 경치도  끝내주는  길~
161,햇빛이 너무 강해 그늘막 많다고 하지만 사용하는 시민 입장에서는 태부족 합니다.
162,좋아하는 사람과 함께 걷는다는건 항상 행복
163,"자전거 도로도 깨끗~~
모든게 좋앗다"
164,전통적인 다리를 계속해서 아름답게 해주세요.
165,아이들을 데리고가서 자전거를 가르치기 좋은곳
166,좋기는 하지만 정치인들이 갈대군락지를 엎어버려서 갈대는 보기 어렵네요.
167,"일요일 낮에 방문
더웠지만 이처럼 가깝게 피크닉 갈곳도 없다"
168,조용한 곳 지역주민이 이용하기 좋은곳
169,보통입니다몇번가보왔는데 그리썩 내키지는 음식이더라고요
170,자전거 모임 장소로 적합합니다
171,쉬는곳으로 최적 공간임 임파가 많음
172,시원하고 경치도 맘에들어요
173,아주 좋아요
174,강바람에 기분이 좋았던 것 같아요 ^^
175,여름에 가족들과 좋아요~
176,모기 겁나 많음. 사람도 겁나 많음. 차도 많음
177,운동하기 좋은 곳
178,아이들 놀기에 정말 좋음 여름 추천
179,"드론공원, 자전거 도로, 산책로가 좋지만 주차공간이 부족합니다."
180,조용함 바로앞 걸어다니기좋음
181,가성비 좋으나 물 높이가 너무 낮음
182,라이딩을 위한 편의점이 인상적인 라이딩 기점
183,팔당 넘어가기 전 마지막 편의점이 있는 곳
184,구리 및 잠실까지 걷기 좋은 강변 공원
185,여유롭게 시간을 보내기 좋습니다.
186,산책하기 무난함  단 편의점하고 거리는 먼편임
187,상태도 더욱 좋아지고 있는 한강시민공원
188,집앞 공원 산책하기 좋음
189,벌레가 많아 힘들었지만 재미있었다.
190,다른 한강 수영장에 비해서는 인파가 적습니다.
191,아침산책하기 좋아요
192,소원성취
193,테니스장 클레이바닥이 학교 흙운동장수준..
194,항상 운동 하는곳^^반려견 동반 환경반려견 의 대소변 을 잘 치우는 의식 있는 시민이 되셨으면 합니다^^
195,이채로운 모습이 좋았어요
196,가격은 비싸졌지만 코트상태 양호합니다
197,조용하고 바람 쏘이기 좋습니다
198,좋아요~^^
199,한적하니 가볍게 피크닉하기 좋아요
200,어른 어린이 같이 즐길수있음
201,산책데이트하기 좋아요
202,시민들에게 너무 좋은 휴식처.
203,저녁에 산책하기촣아요
204,가족단위로 지내기 좋습니다
205,워커힐호텔이 주변의 야경이 너무 아름다워요
206,주차할 장소가 협소하네요.
207,"행사중입니다
서울국제 드론레이스 월드컵"
208,낙엽 바스락바스락 걷기 참 좋아요
209,수영장도 좋구~ 공원도 좋다~
210,늘 최고로 기분좋은 장소.
211,지인들과 휠링하고왔네요
212,오랜만에 방문했는데 ..좋았습니다~~
213,주차하기 힘들지만 좋음
214,엔진기는 못 날립니다. ㅋ
215,"가족나들이 적소, 주차료 저렴"
216,광나루한강공원 수영장
217,가슴  기구가 새로 왔어요👍👍…
218,조깅 산책 라이딩에 좋은 장소
219,참좋아요고라니도노닐고
220,늙어서도 가려구요 ㅋㅋㅋㅋ
221,산책하기 너무 좋은곳
222,강변 산책...힐링의 기본
223,좋아요!^^
224,참 깨끗깨끗
225,운동하기 좋아요
226,갈때마다 힐링되는 기분
227,가족이나 연인들산책코스및운동코스로!
228,매일 운동하러 가는곳
229,자전거 타기 좋은 공원
230,좋아요 산책하기 걷기
231,더 좋은 한강공원 많다...
232,자연에 가까워 지는곳
233,산책하기 좋아요^^
234,드론 비행장소오 괜찮습니다.
235,자전거 타기 좋음
236,수영장 좋아요~
237,너무좋아요
238,아낀다 아껴
239,넓어서 좋아요
240,아주 좋아요.
241,너무이쁜곳
242,자전거타고 바람쐤습니다.
243,"한강 한강 한강놀이터놀이터는 크고좋은데 주차장이멀고 자리가 거의없다.
겨우 차를대고 한참걸어가야한다.화장실놀이터옆에 깨끗한화장실이있어 참좋다"
244,바람쐬기 좋은곳
245,너무좋았어요
246,드론공원 최고~
247,한강. 그 자체면 끄~읕
248,자전거 체육인의 성지
249,물이깨끗한지의문
250,괘적한공원입니다
251,굿굿 놀기 좋음!!!
252,걍 잠깐 짬네서 쉴곳
253,경치 좋아요~~
254,굿
255,좋아요 깨끗함
256,여유를 주는 곳
257,아이가 좋아합니다
258,좋습니다
259,풀이 너무많다
260,좋아요!!  한적하니
261,좋아요 애들 놀기
262,분위기 좋아요
263,깨끗해요.
264,시원해요.
265,좋네요..
266,자전거 인증 거침
267,서비스 조치 암
268,지나갔음..ㅋ
269,"사람 많음
괜찮음"
270,한강치맥 굿
271,좋아요
272,최고
273,아주 좋아!
274,의외로 넓다?
275,좋다
276,한강은 최고죠
277,굿!
278,아주 좋아요
279,좋음
280,너무좋아요!
281,그냥 한강공원
282,"정말,잘바읍니다"
283,아름다운곳
284,구뜨
285,좋았습니다
286,안함.. 코로나
287,평온하다.
288,자연그대로
289,강지와 산책코스
290,도심속 휴양지
291,드론연습장
292,한적한 한강공원.
293,비가많이옴
294,한강 산책로에서
295,천호동공원 한강공원
296,시원해~~~!!
297,조아요
298,힐링타임
299,테니스공원
300,자전거
301,한강 굿
302,그닥‥
303,한강공원
304,가족나들이
305,광나루 ~~
306,좋아요
307,좋아요
308,좋아요
309,좋아요
310,굿
311,굿
312,좋아요
313,좋아요
314,아주좋아요
315,좋아요.
316,"아침 낮 밤 산책으로 너무 좋아요, 주차해두고 실내데이트하기도 좋아요"
317,"항상 사람이 붐비지 않기 때문에 방문하기 좋은 곳입니다. 산책하기에도 좋고, 앉아서 한강을 바라보는 것도 좋습니다. 한강공원은 많지만 가장 조용하고 편안한 공원은 이곳입니다."
318,"- 가족, 커플, 싱글을 위한 매우 정돈되고 아름다운 곳입니다 🌷

- 배드민턴, 축구, 수영장, 테니스장을 지정하여 운영하고 있습니다.

- 한강물을 만져볼 수 있는 곳도 있습니다.

- 야경이 정말 멋지네요 ❣

- 주차공간도 많고 거의 무료예요😋

- 적극 추천합니다 🙂"
319,"시민을 위한 공공수영장
합리적인 가격과 좋은 상태"
320,오늘은 날씨가 꽤 추워서 사람이 많지 않네요. 공원은 잘 관리되어 있지만 드론 발사대 지역이 약간 진흙탕이었습니다.
321,"이곳에서는 합법적으로 드론을 날릴 수 있고, 모형비행기와 헬리콥터를 조종하는 사람들, 경주용 드론을 조종하는 사람들도 있습니다."
322,"오후를 보내기에 좋은 곳. 한강 바로 옆에는 산책로, 자전거길, 드론파크, 어린이놀이터, 스케이트파크가 많습니다. 주변 지역에 녹지가 많습니다. 이곳에서 바라보는 일몰이 정말 마음에 들었습니다. 다행히 이날 하늘은 정말 아름다웠습니다. 매우 활기찬 곳."
323,화장실도 깨끗합니다.
324,아름다운 신선한 공기
325,"이것은 긴 지역에 있습니다. 천호역이나 암사역에서 걸어서 갈 수 있는 거리입니다. 이 한강공원의 좋은 점은 나무와 다리 아래 그늘이 많다는 점이에요. 또한 카페, 편의점, 자전거대여, 수영장, 축구장, 테니스장, 생태숲 등이 있습니다."
326,"드론을 날리고, 자전거를 운전하고, 제가 볼 시간이 없었던 다른 것들을 할 수 있는 멋진 공원입니다."
327,경치 아름다운 곳입니다.
328,아름답고 편안한 공원
329,최고의 장소 한강
330,서울 동쪽 출입구 자전거 공원
331,시큼한
332,좋은
333,좋은 곳
