,양화한강공원리뷰
254,공사중인곳이 있고 낚시금지 구역임에도 낚시를 하는분들이 있더라구요...ㅠㅜ
255,밤산책하기 좋은곳
256,그냥 최고!
257,양화공원선착장 아리수만찬. 자전거 타고 가다 쉬었다 가기도 좋은 곳이고 그냥 걸어와서 고기 구워먹고 술한잔 하기에도 좋은 곳. 편의점 라면 강추.
258,좋아요
259,사람 겁나마늠^^
260,강바람 휘몰아치는 가운데 녹색지대를 느낄수 있는 곳
261,아이들산책하기좋음
262,가족단위 나들이 좋습니다
263,좋아요
264,날이 좋아서 바람이 좋아서 간다
265,한강은 언제나 옳다. 숲풀을 조금만 지나면
266,"날씨도 모든게 다 좋았다
다만 공중화장실이 너무 멀다.."
267,가볍게 나들이 하기 넘 좋아요
268,각종 조형물이  멋져요
269,좋아요
270,이유는 필요없습니다.. 야경도 좋고.. 다른 한강에 비해 밀집도도 적고.. 주변에 먹거리 먹을 곳도 많고
271,굿
272,꽃은 아직이지만 공기좋고 운동하기 그만이죠
273,주차면이 적어서 안좋습니다
274,굿
275,편의점이 좀...
276,강아지와 산책하기도 좋아요.
277,그냥 좋지..ㅎ
278,추워
279,산책하기 좋은 곳
280,서울이 비싼이유
281,서울가면 꼭 가는곳.. 힐링이되는곳이에요
282,소형 선박면허 시험보러갔는데 주차도 편하고 바로 앞이라 좋았어요 경치도 굿~~~
283,날씨 좋아서 걷기 너무 좋아요.
284,편의점이 매우 잘되어있다
285,늘 새벽자전거 다네요^^
286,여의도만큼 북적거리지 않아 좋아요
287,다른곳은 차가 못들어기는곳이 많은데 이곳은 차를 댈수가 있었어요 바람이라도 쐬니 좋네요
288,사람 많아요 ㅜ
289,아름답고 멋진 곳 이죠!
290,산책하기 좋아요~~
291,기분전환으론 최고
292,"당산한강매점(새로 크게 짓는중)에 운동삼아 갔는데 비가 주르륵쥬르륵~빗소리가 넘좋고 우비입고 자전거타는 사람들, 우산쓰고 산책하는 사람들...넘넘 좋았음~^^좋은힐링..."
293,"편의시설 등 잘 갖추어진 ...
편히 쉬다 올 수 있는
주차장과 가까운.
쉼터
그리고
선유도에서 가까운...."
294,산책하기 좋아요
295,공원 좋다아 언능 공사 끝나라아아
296,봄이 오는 소리가 바람과 함께 나들이객의 옷차림과 색깔의 변화에서 읽혀집니다.
297,점심 식후 산책을 위한 좋은 곳
298,"좋아요. 한강공원을 따라 선유도 공원까지 산책하고 오면 더할나위없는 데이트 코스.
곳곳이 사진찍기도 좋아요"
299,나들이 하기 좋음
300,산책과 자전거~~
301,"깨끗하고, 한적하며, 거리를 두며 운동을 즐깁니다."
302,운동코스로치요 시원하고 한강을바라보면서요  요즘갈곳이없다보니  사람이 너무많터라고요
303,산책길 도중 자전거 길을 지나야하는 ㅠㅠㅠ 구간이 있지만 음 산책길이 넓지도 않고 음 그래도 한강이라 좋아요~~~
304,선유도공원 굿
305,봄이 오는 길에 날씨가 너무 쾌청해서 좋아요
306,멋진 장소
307,"공사중이라서 그런지 아직은..,"
308,좋아요
309,새벽에도 운동하는사람 많음.
310,운동이나 산책하기에 최고입니다
311,서울에 사는 이유!
312,한강보기좋음
313,주차장도 편리하고 가까이 편의점도 있고  더 걷다보면 선유도공원도 있고
314,좋은
315,"지하철에서 바로 한강으로 연결되어 있어서 접근이 편리하고  오른쪽 여의도나 왼쪽 선유도공원으로 갈수있어요.

2호선 당산역 4번.5번.6번 출구 어디로 나가시던 양화한강공원으로 가실수있지만 노들길 밑으로 굴다리를 건너야해요.
그것보다 4번 출구 쪽으로 가시면 밑으로 내려가시기 전에 한강공원으로 이어진 육교 길이 있구요 양화한강공원 이정표도 잘 보여요.

굴다리길은 어둡고 전망이 없지만 당산역에서 바로 연결되는 육교길은
한강과 여의도쪽 전망이 좋아서 이 길을 추천해요. 무엇보다 끝에 엘리베이터가 있어서 더 편리하고 사진찍을 공간도 약간 있어요."
316,"양화대교 밑에 운동을 하는 곳 이에요 기구가 다양합니다
아주 좋아 요.? 나 🙌 👍…"
317,잘 조성되어 산책하기 좋고 놀이터도 있어 아이들도 좋아합니다.
318,달리기에 좋습니다.
319,선유도공원 다녀왔슴
320,자전거 타기와 걷기 달리기 운동하기에 좋았씀
321,"선유도에 가려면 3주차장 이용.. 양화대교는 2주차장이
가까운데 주차면수가 그리 많진 않다."
322,다른 한강공원뷰다 아기자기자기 하지만 주택가와 지하철역과 인접한 메리트가 잇음
323,"넓은잔디와 한강조망
산책하기 좋아요"
324,역에서 공원에 가기 좋게 고가다리가 설치가 잘되어있네요 ㅎㅎ
325,"야경이 아주 멋져요
산책하기도 좋구요~~^^"
326,"산책하기좋은 곳, 미니샵에서 간식도"
327,자전거타면서 들리는 곳이에요.
328,좋아용 산책하기에 특히 좋습니다
329,좋음
330,비밀 데이트를 위한 탁월한 선택
331,산책하기 좋아요
332,코로나 때문에 사람만나기 꺼려는 지는데...답답함이 느낄때 자주가는곳
333,코로나인데도 사람들이 걷기 운동하러 나오네요.
334,한스장 양화대교점 벤치프레스 무게가 바 제외 30이 최대지만 한적하여 좋았습니다
335,산책하기좋은곳
336,사랑이 샘솟는 곳입니다~☆
337,연인과 방문하여 강을 바라보며 바람 쐬기에는 적당히 좋습니다~ 근데 12월 한강 공원은 어딜가나 드럽게 춥다~
338,"집 근처라 자주 가는 곳입니다.
계절마다 다른 느낌의 풍경을 제공해주어 좋습니다."
339,산책하기 좋아여
340,좋아요
341,걍좋음
342,가을 산책하세요
343,붐빔
344,"국민학교 동창들과
좋은 기억을 갖고 왔습니다"
345,비오거나 바람불거나 눈이와도 언제든지 이곳만 가면 운동 가능합니다
346,당산역 쉽게 이동하기 쉽게 연결되어 점심먹고 가볍게 산책할 수 있는 최고의 장소
347,"적당히 여유로운 한강공원. 여의도, 반포 한강공원보다는 덜 유명하지만 선유도도 있고 합정, 망원 방향 한강 뷰도 멋있는 여유로운 한강공원입니다."
348,한강공원에서 선유도공원으로 연결되어 있고 아름답게 잘 꾸며져 있다
349,잘 되어있는 한강공원 지역이며  선유도에 가기에 가까운 한강 지역임
350,시원하고 산책하기 좋은 장소 입니다.
351,"걷기 좋은 장소였던 것 같아요~ 낚시를 즐기는 분들, 산책하는 분들도 많구요. 아주 아름답거나 하진 않습니다. 한강을 보면 답답했던 가슴이 뻥 뚫리는건 있는 것 같아요~"
352,양화대교및 운동기구가 잘 되어있네요
353,산책하기 좋은 곳
354,거 참 걷기 딱 좋은 날씨네~
355,자전거타기 좋음
356,"요즘 날씨 걷기에 딱
귀여운 강아지들도 만날 수 있음"
357,그늘막 후딱 치고 비누방울 공놀이 연날리기 하면서 애랑 놀아주면 두어시간 후딱 갑니다
358,"한적한  시골  같음.
Peaceful place inside Seoul"
359,평화로움 해질때..
360,자전거도로및 공원시설이  잘 되어 있는곳.
361,접근성이 좋음
362,화장실 편함
363,"갈대와 억새가 어우러져있고,
자전거도 여유롭게 탈수있고
한강이 여유롭게 흐르고있어서 너무 좋아요"
364,"가족, 연인과 함께 걷기 좋은 곳.. 선유도 공원도 가까워요"
365,선유도공원과 같이 한강의 정취를 즐길 수 있는 휴식처
366,주차하기 편하구 좋아요
367,그냥 평범한 한강변 공원입니다. 자전거 타는 분들 무척 많이 이용하는 곳
368,"관리가 잘 되어 있고, 오후의 한적한 시간을 즐길 수 있어요"
369,한강이라는 특수를 누리기에 좋아요 교통편도 좋구요
370,한강은 언제나 옳음
371,산책및 운동하기 좋아요..
372,좋음
373,"한강공원은 어디든 멋집니다. 많은 사람들이 이곳에 와서 즐거운 시간을 보내고 있습니다. 커플, 가족, 심지어 싱글이라도 강 전망을 즐기실 수 있습니다."
374,선유도를 갈 수 있어 산책 범위가 넓어요
375,가깝고 걷기가. 쾌적하다
376,👍 좋아요 ㅋㅋ 사람도 많지않아서 굳…
377,한가하고 좋아요 다른데보다 사람이 적어요
378,도심 속 진주
379,맥주 먹으면서 여유즐기기 좋은곳!!
380,시원한 풍경
381,야간 산책에도 좋으나.. 자전거가 너무 빨리 달림
382,"밤 산책하기에 좋아요.
자전거 타는 사람들과 섞이는 부분에는 좀 위험 합니다"
383,가볍게쉬기좋습니다
384,뛰기에좋음
385,사람 넘 많아요.
386,운동하기 좋아요
387,"자전거 라이딩코스  굿 시원한 저녁 강바람
맞으며 그냥 걸어도 굿"
388,뷰가 좋음
389,열심히 운동하던곳♡♡
390,말이 필요한가???
391,저녁에 따릉이 빌려서 가면 야경이 캬...스트레스 풀리고 힐링되요 가실때 외투 필수 추워요
392,언제나 좋다
393,좋와요
394,동네 한바퀴 돌고 싶을때 오면 괜찮은 곳
395,여유 그 자체... 신선했음.
396,자전거 쉼터
397,걸어서 다리 건너 선유도 공원 갈 수 있음. 한적하고 넓찍함
398,산책하기 좋네요!
399,시원 하고  아주 좋아요
400,그냥 건너가서 딱히 정보 없음
401,사람 많은 한강공원
402,"좋고 아늑한 장소.
여의도만큼 크지는 않지만 자연과 더 흡사해요"
403,공원은 언제나 좋음
404,예뻐요
405,사람들이 많이 있습니다.
406,좋아요
407,나홀로산책운동하기좋은곳
408,다른 한강공원보다 한적해서 좋아요~
409,야간조명이좋아요
410,낚시하기만 좋은곳이네요
411,깨끗  상쾌
412,굿 너무 좋은 공원
413,"한강 요트체험 강추, 근데 여의도 한강공원 방향으로 많이 걸어야 함. 분위기 좋음"
414,앉을 벤치가 많지 않아서 조금 아쉽지만 산책하기에도 한강보기에도 좋아용
415,dt는아니지만  주말에 8시면 열고 한강이랑 가까워서 좋아요
416,기가막힌 트래킹 코스입니다
417,연인끼리 치킨 먹으면 좋아요
418,굿~!!!
419,"비많이오면 가지마세욤. 편의점 하나있어서 나름 유용함.  낚시하는분들도 좀 잇고. 국회의사당방향으로 가면 강보다는 숲이있고, 반대로 위로올라가면 강변이 쭉 나있어요~"
420,많은사람들이 있습니다
421,친절 맛 편의 다갖춘곳입니다.
422,야경이 참 아름답죠.
423,사람이 많네요
424,넓고 조와요!
425,안이낄수인나?  와이?
426,너무 잘 조성되어 있네요
427,늘 자주 가니 좋아요
428,서울에서의 좋은곳 중 한것 입니다.
429,참으로 아름다운 view를 볼수있어 좋다
430,코로나 옮거나 옮기지 말고 집에 있읍시다.
431,한적하게 드러누울수 있어요
432,조용하고 깨끗함
433,사람적고 항상 옳아
434,"너무좋아요
행복해요"
435,화창한 날씨 정말 좋네
436,낮에 가도 좋고 야경도 볼만하다.
437,늘 굿
438,좁고 순환선들로인해 매연
439,산책하기 좋아요. 주차장도 가깝게 있어요.
440,풍경좋고 노을 좋고 넓고 좋지만 벤치나 도보길(성산대교쪽)이 잘 되어있지않아 아쉬웠어요
441,아기랑 오기 좋음
442,강의 풍경은 늘 안식을 줍니다
443,자전거 도로가 잘되어있어서 좋아요
444,여의도 공원에 비하여 한적해서 여유를 느끼고 싶을때 추천
445,고기는 좋은데 환기가 잘안됌
446,너무너무 맛있어요
447,좋긴한데 비둘기가 넘 많아요ㅜㅜ
448,자전거 타고 중간 휴식처
449,철봉 평행봉 턱걸이용철봉 있음 커플많음 가끔버스킹함 여름에 따릉이타고 밤에 오기좋음
450,"방화대교옆
습지"
451,비교적 좋았습니다.
452,프리미엄 번거랑 와퍼 두개에 7000 원 행사중이라서 좋아요!!!!ㅋㅋ
453,서울 사는 사람에겐 한강은 최고의 휴식장소
454,운동하고 자전거타고 산책하고  시간을보내지요 아주즐거워요 또무엇을할까 명상도하고 아주좋아요
455,집 가까운 산책로
456,더워요
457,자전거길이잘되어있어요
458,낚시 포인트가 좋고 고기 잘나옴
459,선유도공원. 산책하면서 데이트하기 좋음
460,달리기
461,저녁 산책길에
462,밤산책 뷰가좋아요
463,그냥 좋아요
464,분위기있음
465,내 삶의 쉼표
466,자연친화적인 참새가 가득한 아름다운 공원 입니다.
467,한강.등이 좀 어둡습니다.
468,산만이 더 시원합니다)))
469,그냥 일반적인 한강경치. 집근처라 자주 가네요
470,상쾌하게 운동하기 딱 좋습니다.
471,비오는 양화대교의 운치는 끝내줍니다~
472,자전거 모임장소 추천
473,밤에는 모기많음
474,"한적함
이국적인 감성의 수변 공원"
475,비는오니 한산하고 좋네요.
476,쉬기좋아요
477,너무 좋다
478,운동하고 해질녘에 다리를 건너 산책하기 좋은 곳
479,공원이 걷기 좋고 사람들도 많지만은 않아서 산책하기 좋아요.
480,운치있고 쉴 수 있고 운동할 수 있는 곳!
481,"강바람이 솔솔솔 흘러가는 한강물 ,훌쩍 웃자란 억세풀숲, 다양한 운동기구등 어린이부터 노인들까지 쉼터공간으로 훌륭한 공원이다,"
482,해질무렵 선유도다리가보이는 한강공원
483,한적하네요 그냥 산책 정도론 좋아요
484,늦은 오후 산책하면서 노을보기좋은곳.
485,"꼭한번쯤라이닝해보시길강추하고싶은곳입니다.
여유와활력그리고한강의뷰...
모든게맘에드는곳이였다"
486,"산책길.자전거길 너무 좋은데
오늘은 더워서 잔차타기 힘들다
😋😋😋
땀범벅..…"
487,서울에서 이만한 휴식공간을 접하기란 쉽지 않죠. 계절맞춰 꽃도 지천이고 벤치 등 쉴수있는 공간도 충분해 힐링  장소로 적극 추천합니다
488,그럭저럭...라면은 맛있어요
489,라면 땡기러 가기 좋음.
490,"서울로 가기전, 속초여행 마무리로 아주 좋아요.^~^"
491,라이딩 63km
492,집 옆에한강 공원있이요
493,바람이 잘부는 양화대교 아래에서 쉬면 너무 좋습니다
494,바람도 쏘이고 산책하기에도 너무 좋은곳
495,아이들과 피크닉하기 좋은 곳
496,도시속 자연이 가까이 있어서 좋다
497,자전거 타고 가기 좋아요. 화장실이랑 편의점도 잘 갖추어져 있어요.
498,다양한 볼거리가 있음
499,좋아요
500,깨끗해요.
501,다른 한강공원에 비해 좋지 않네요.
502,"산책하기 딱 좋은날이네요, 마스크 쓰는건 아쉽지만ㅎㅎ"
503,경치 좋고 접근성 좋은 공원
504,운동하기 좋고 낚시하기 좋고 ...
505,"조금 떨어진곳에 주차장이 있음. 양화교 밑엔 그늘이 시원하며 운동기구가 많음. 사람들이 운동을많이 하고있음.
바로옆에 어린이놀이터, 양화교 위에 커피숖도있음."
506,아이들이 좋아합니다
507,가족 나들이로 좋아요
508,언제 봐도 야경 멋지다
509,한산한 한강공원 산책
510,다른 한강공원보다 한적한 편이라 좋습니다
511,정돈된 공원에서 편안하게 걸을수 있고 야경이 뛰어나다
512,"한강은 너무 좋아요  일상 생활에서  피곤하고 지칠때마다  공원에 가서 산책을 하고 있으면
피곤함이 사라지네요 너무좋아 요"
513,맥주한잔 까기 좋음 굳
514,대물들이 숨쉬는곳
515,반려견키우시는분산책하기좋아여
516,아무것도없음...
517,코로나 영향으로 집콕탈출~ 탁 트인 장소와 한강 변을 거닐 수 있어 좋음~ 더불어 선유도 공원을 들를 수 있다는 장점~
518,좋아요
519,산책하기 좋아요
520,시야가  좋 아요 강북 도잘보이고 가끔 잘가요♡♡~~~~
521,주차도 좋고 인근 편의점 등 편의시설도 좋네요
522,한강뷰가 좋아요
523,맥주때리고싶은곳
524,날씨 좋은날 낮에 가면 기절 가능
525,자전거도로나 에스컬레이터로 다리위로 올라가 나가고 들어오기기 좋고 운동기구도 있고 산책로가 수변과 가까이 있어서 좋다.근처에 선유도가 있어서 산책하기 좋다.
526,너무평온
527,미세먼지 없는 날 놀러오기 넘 좋네요^^
528,한국에서 내가 가장 좋아하는 곳
529,접근성이 매우 좋고 깨끗하게 정비되어 있다!!
530,조깅하기 좋아요.
531,너무 좋다.  역시 한강공원 👍…
532,추워요
533,멋진 곳 입니다. 벽에 그려진 유명인들의 페인팅과 명언~ 보면서 감동받고가요 ㅎ
534,아프지말고 가야 좋음
535,"한강공원 가벼운 산책이나 자전
거 타기에 너무 좋습니다
물론 스트레칭운동 기구도 있고
너무 좋습니다."
536,힐링되는 공원
537,"아름다운  한강양화공원
입니다나드리  산책하면서
걷기딱좋은  곳입니다
선유도와 함께그닐며  산책
하기에좋읍니다
유유히흐러는  강물을보면서"
538,동네에서 괜찮은곳
539,굿
540,당산역 지하철과 가깝고 편의점도 있음. 겨울철에는 편의점 24시간 운영하지는 않음
541,겨울에는 너무 황량하고 생명이 없지만 꽃이 피는 봄에는 괜찮습니다.
542,양화대교 위 커피숍
543,생각보다 초계국수는 별로고 밀전병이 맛있어요.. 가격내라고 양줄이면 좋겠어요
544,아늑한 수변 공원
545,"이름자체가
다잇어서 ""다이소""
인듯 합니다.
청소용품을 사러갓는데
원하는것 모두 살수잇어
좋앗구요
최우선은 주차장이 넓어
주차하기좋아
자주 찾는곳이기도 합니다"
546,"잘알려지지 않은 공원 관리가 잘 되어있지는 않아요
접근이 좀 불편해요"
547,천주교 순교지 공원에 가보세요
548,산책하기 좋은 곳
549,시민들의 공공휴식 공간
550,"가을에 코스모스가 느러지게 피어 있어요.
포토존도 잘해놓고 강바람 쐬며 석양 노을질때 가면 환타직합니다"
551,"라이딩할때 꼭 들러 쉬는곳입니다,
커피 마시면서 커피의 진한맛도 느낄수있어 좋습니다^^"
552,"다른 한강공원에 비해 조금 더 한적한듯..
여름에 수영장도 깨끗하고 좋아요."
553,철봉도있고이것저것있다. 하지만 푸쉬업 폴이 없다 T^T
554,굿
555,"걷고 뛰기 좋아요.
그리고 석양과 야경이 아주 훌륭해요"
556,멋쪄여 ~~~^^
557,이쁘고 좋음. 잔디밭 돗자리깔고 석양보며 먹는 캔맥주는 완전 엑설런트
558,힐링의 장소
559,양화대교
560,묻고 더블로
561,한적하게 가족과함께하기좋은곳~!
562,서울안에서 힐링 하기에는 최고예요
563,라이딩휴게소
564,"2호선 당산역 4번출구방향에서 한강으로 나가는 구름다리 연결되어있음. 구름다리끝까지 가서에 엘리베이터를 타거나 계단으로 내려가면 한강시민공원길과 연결됨. 엘리베이터에서 나가 왼편 양화대교쪽으로 가면 양화시민공원.  양화대교 지나자마자 봄에는 청보리밭, 가을에는  코스모스들판이 나옴. 그 곳을 지나치면 양편에 드넓은 잔디밭, 더 지나치면 장미공원이 나오고, 선유도공원으로 연결되는 구름다리가 나옴. 최고의 휴식처."
565,봄에는 더좋을것갖습니다
566,공원도 좋치만 저는 일주일에 가능한 세차례 운동을 나가는 곳 입니다.
567,"한적하니 너무 좋네요
모처럼 따뜻한 가을 날씨!"
568,한강을 가서 한적한곳을 찾는다면 추천
569,운동기구도있고 산책하기 좋았음요^^
570,이 장소가 좋아요
571,낚시하는 분들도 있어요
572,보통
573,2019.10 다른 한강공원에 비해 화려하진 않지만 한적하다.
574,산책하기 좋음
575,조음
576,이렇게 좋은 날씨에 자전거 타기 딱 좋은 곳!
577,자전거도로 타고 갈수 있는 아주 좋은 한강 입니다
578,여유로운 시간.. 차한잔의여유 한강바람과 주위의 풍경들이
579,항상 좋지요
580,좋은 산책코스이나 불법 낚시인들과 2마리이상 대리고나온 애묘인들의 행렬들이 아쉽네요. 특히 낚시인들은 구석구석 왜이리 많은지...
581,"확실히 서울에서 가장 멋진 곳 중 하나예요
사람이 많지 않아 일몰을 감상할 수 있는 멋진 산책로도 있습니다.
그래서 매우 조용하고 잔디밭에서 휴식을 취할 수 있습니다.
저는 이런 곳에서 음식을 먹는 걸 좋아해요!😂😂
이곳을 강력히 추천합니다😀👍"
582,여유로운 공간이지만 올림픽대로의 차량소음이 옥의 티
583,자전거타면서 데이트를 !!
584,한강의 추억
